Notes	County of Residence	County of Residence Code	Year	Year Code	Births
	"Rensselaer County, NY"	36083	2016	2016	118
	"Rensselaer County, NY"	36083	2017	2017	138
	"Rensselaer County, NY"	36083	2018	2018	101
	"Rensselaer County, NY"	36083	2019	2019	151
	"Rensselaer County, NY"	36083	2020	2020	132
	"Rensselaer County, NY"	36083	2021	2021	101
Total	"Rensselaer County, NY"	36083			741
	"Richmond County, NY"	36085	2016	2016	390
	"Richmond County, NY"	36085	2017	2017	450
	"Richmond County, NY"	36085	2018	2018	405
	"Richmond County, NY"	36085	2019	2019	374
	"Richmond County, NY"	36085	2020	2020	374
	"Richmond County, NY"	36085	2021	2021	393
					
	"Rockland County, NY"	36087	2016	2016	302
	"Rockland County, NY"	36087	2017	2017	326
	"Rockland County, NY"	36087	2018	2018	319
	"Rockland County, NY"	36087	2019	2019	310
	"Rockland County, NY"	36087	2020	2020	311
	"Rockland County, NY"	36087	2021	2021	351
Total	"Rockland County, NY"	36087			1919
	"St. Lawrence County, NY"	36089	2016	2016	56
	"St. Lawrence County, NY"	36089	2017	2017	76
	"St. Lawrence County, NY"	36089	2018	2018	66
	"St. Lawrence County, NY"	36089	2019	2019	71
	"St. Lawrence County, NY"	36089	2020	2020	70
	"St. Lawrence County, NY"	36089	2021	2021	74
Total	"St. Lawrence County, NY"	36089			413
	"Saratoga County, NY"	36091	2016	2016	136
	"Saratoga County, NY"	36091	2017	2017	144
	"Saratoga County, NY"	36091	2018	2018	118
	"Saratoga County, NY"	36091	2019	2019	126
	"Saratoga County, NY"	36091	2020	2020	135
	"Saratoga County, NY"	36091	2021	2021	134
Total	"Saratoga County, NY"	36091			793
	"Schenectady County, NY"	36093	2016	2016	153
	"Schenectady County, NY"	36093	2017	2017	135
	"Schenectady County, NY"	36093	2018	2018	166
	"Schenectady County, NY"	36093	2019	2019	144
	"Schenectady County, NY"	36093	2020	2020	143
	"Schenectady County, NY"	36093	2021	2021	132
Total	"Schenectady County, NY"	36093			873
	"Suffolk County, NY"	36103	2016	2016	1212
	"Suffolk County, NY"	36103	2017	2017	1156
	"Suffolk County, NY"	36103	2018	2018	1184
	"Suffolk County, NY"	36103	2019	2019	1160
	"Suffolk County, NY"	36103	2020	2020	1125
	"Suffolk County, NY"	36103	2021	2021	1233
Total	"Suffolk County, NY"	36103			7070
	"Tompkins County, NY"	36109	2016	2016	50
	"Tompkins County, NY"	36109	2017	2017	47
	"Tompkins County, NY"	36109	2018	2018	57
	"Tompkins County, NY"	36109	2019	2019	30
	"Tompkins County, NY"	36109	2020	2020	28
	"Tompkins County, NY"	36109	2021	2021	33
Total	"Tompkins County, NY"	36109			245
	"Ulster County, NY"	36111	2016	2016	98
	"Ulster County, NY"	36111	2017	2017	95
	"Ulster County, NY"	36111	2018	2018	106
	"Ulster County, NY"	36111	2019	2019	120
	"Ulster County, NY"	36111	2020	2020	105
	"Ulster County, NY"	36111	2021	2021	106
Total	"Ulster County, NY"	36111			630
	"Westchester County, NY"	36119	2016	2016	780
	"Westchester County, NY"	36119	2017	2017	789
	"Westchester County, NY"	36119	2018	2018	765
	"Westchester County, NY"	36119	2019	2019	712
	"Westchester County, NY"	36119	2020	2020	726
	"Westchester County, NY"	36119	2021	2021	739
Total	"Westchester County, NY"	36119			4511
	"Unidentified Counties, NY"	36999	2016	2016	1174
	"Unidentified Counties, NY"	36999	2017	2017	1146
	"Unidentified Counties, NY"	36999	2018	2018	1212
	"Unidentified Counties, NY"	36999	2019	2019	1184
