"Notes"	"County of Residence"	"County of Residence Code"	"Year"	"Year Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Broome County, NY"	"36007"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Broome County, NY"	"36007"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Broome County, NY"	"36007"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Broome County, NY"	"36007"	"2018"	"2018"	"11 to 20 pounds"	"2"	10
	"Broome County, NY"	"36007"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Broome County, NY"	"36007"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Broome County, NY"	"36007"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Broome County, NY"	"36007"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"Broome County, NY"	"36007"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Broome County, NY"	"36007"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"Broome County, NY"	"36007"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Broome County, NY"	"36007"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Broome County, NY"	"36007"	"2020"	"2020"	"Less than 11 pounds"	"1"	15
	"Broome County, NY"	"36007"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"Broome County, NY"	"36007"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Broome County, NY"	"36007"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Broome County, NY"	"36007"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Broome County, NY"	"36007"	"2021"	"2021"	"Less than 11 pounds"	"1"	17
	"Broome County, NY"	"36007"	"2021"	"2021"	"11 to 20 pounds"	"2"	Suppressed
	"Broome County, NY"	"36007"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Broome County, NY"	"36007"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Broome County, NY"	"36007"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"2016"	"2016"	"11 to 20 pounds"	"2"	Suppressed
	"Chautauqua County, NY"	"36013"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"2017"	"2017"	"11 to 20 pounds"	"2"	Suppressed
	"Chautauqua County, NY"	"36013"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"2018"	"2018"	"11 to 20 pounds"	"2"	Suppressed
	"Chautauqua County, NY"	"36013"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Chautauqua County, NY"	"36013"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"Chautauqua County, NY"	"36013"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"2021"	"2021"	"11 to 20 pounds"	"2"	Suppressed
	"Chautauqua County, NY"	"36013"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"2016"	"2016"	"Less than 11 pounds"	"1"	16
	"Dutchess County, NY"	"36027"	"2016"	"2016"	"11 to 20 pounds"	"2"	14
	"Dutchess County, NY"	"36027"	"2016"	"2016"	"21 to 30 pounds"	"3"	11
	"Dutchess County, NY"	"36027"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"2017"	"2017"	"Less than 11 pounds"	"1"	18
	"Dutchess County, NY"	"36027"	"2017"	"2017"	"11 to 20 pounds"	"2"	12
	"Dutchess County, NY"	"36027"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Dutchess County, NY"	"36027"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Dutchess County, NY"	"36027"	"2018"	"2018"	"11 to 20 pounds"	"2"	14
	"Dutchess County, NY"	"36027"	"2018"	"2018"	"21 to 30 pounds"	"3"	12
	"Dutchess County, NY"	"36027"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"2019"	"2019"	"Less than 11 pounds"	"1"	10
	"Dutchess County, NY"	"36027"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Dutchess County, NY"	"36027"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"Dutchess County, NY"	"36027"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"2020"	"2020"	"Less than 11 pounds"	"1"	10
	"Dutchess County, NY"	"36027"	"2020"	"2020"	"11 to 20 pounds"	"2"	14
	"Dutchess County, NY"	"36027"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Dutchess County, NY"	"36027"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Dutchess County, NY"	"36027"	"2021"	"2021"	"11 to 20 pounds"	"2"	19
	"Dutchess County, NY"	"36027"	"2021"	"2021"	"21 to 30 pounds"	"3"	13
	"Dutchess County, NY"	"36027"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Erie County, NY"	"36029"	"2016"	"2016"	"Less than 11 pounds"	"1"	53
	"Erie County, NY"	"36029"	"2016"	"2016"	"11 to 20 pounds"	"2"	53
	"Erie County, NY"	"36029"	"2016"	"2016"	"21 to 30 pounds"	"3"	44
	"Erie County, NY"	"36029"	"2016"	"2016"	"31 to 40 pounds"	"4"	14
	"Erie County, NY"	"36029"	"2016"	"2016"	"41 to 98 pounds"	"5"	10
	"Erie County, NY"	"36029"	"2017"	"2017"	"Less than 11 pounds"	"1"	35
	"Erie County, NY"	"36029"	"2017"	"2017"	"11 to 20 pounds"	"2"	54
	"Erie County, NY"	"36029"	"2017"	"2017"	"21 to 30 pounds"	"3"	37
	"Erie County, NY"	"36029"	"2017"	"2017"	"31 to 40 pounds"	"4"	12
	"Erie County, NY"	"36029"	"2017"	"2017"	"41 to 98 pounds"	"5"	20
	"Erie County, NY"	"36029"	"2018"	"2018"	"Less than 11 pounds"	"1"	43
	"Erie County, NY"	"36029"	"2018"	"2018"	"11 to 20 pounds"	"2"	60
	"Erie County, NY"	"36029"	"2018"	"2018"	"21 to 30 pounds"	"3"	34
	"Erie County, NY"	"36029"	"2018"	"2018"	"31 to 40 pounds"	"4"	20
	"Erie County, NY"	"36029"	"2018"	"2018"	"41 to 98 pounds"	"5"	11
	"Erie County, NY"	"36029"	"2019"	"2019"	"Less than 11 pounds"	"1"	34
	"Erie County, NY"	"36029"	"2019"	"2019"	"11 to 20 pounds"	"2"	48
	"Erie County, NY"	"36029"	"2019"	"2019"	"21 to 30 pounds"	"3"	37
	"Erie County, NY"	"36029"	"2019"	"2019"	"31 to 40 pounds"	"4"	23
	"Erie County, NY"	"36029"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Erie County, NY"	"36029"	"2020"	"2020"	"Less than 11 pounds"	"1"	50
	"Erie County, NY"	"36029"	"2020"	"2020"	"11 to 20 pounds"	"2"	41
	"Erie County, NY"	"36029"	"2020"	"2020"	"21 to 30 pounds"	"3"	32
	"Erie County, NY"	"36029"	"2020"	"2020"	"31 to 40 pounds"	"4"	13
	"Erie County, NY"	"36029"	"2020"	"2020"	"41 to 98 pounds"	"5"	11
	"Erie County, NY"	"36029"	"2021"	"2021"	"Less than 11 pounds"	"1"	37
	"Erie County, NY"	"36029"	"2021"	"2021"	"11 to 20 pounds"	"2"	58
	"Erie County, NY"	"36029"	"2021"	"2021"	"21 to 30 pounds"	"3"	35
	"Erie County, NY"	"36029"	"2021"	"2021"	"31 to 40 pounds"	"4"	27
	"Erie County, NY"	"36029"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"2016"	"2016"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Jefferson County, NY"	"36045"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"2017"	"2017"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Jefferson County, NY"	"36045"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"2018"	"2018"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
