"Notes"	"County of Residence"	"County of Residence Code"	"Year"	"Year Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Nassau County, NY"	"36059"	"2020"	"2020"	"21 to 30 pounds"	"3"	72
	"Nassau County, NY"	"36059"	"2020"	"2020"	"31 to 40 pounds"	"4"	21
	"Nassau County, NY"	"36059"	"2020"	"2020"	"41 to 98 pounds"	"5"	28
	"Nassau County, NY"	"36059"	"2021"	"2021"	"Less than 11 pounds"	"1"	36
	"Nassau County, NY"	"36059"	"2021"	"2021"	"11 to 20 pounds"	"2"	70
	"Nassau County, NY"	"36059"	"2021"	"2021"	"21 to 30 pounds"	"3"	60
	"Nassau County, NY"	"36059"	"2021"	"2021"	"31 to 40 pounds"	"4"	38
	"Nassau County, NY"	"36059"	"2021"	"2021"	"41 to 98 pounds"	"5"	28
	"New York County, NY"	"36061"	"2016"	"2016"	"Less than 11 pounds"	"1"	36
	"New York County, NY"	"36061"	"2016"	"2016"	"11 to 20 pounds"	"2"	69
	"New York County, NY"	"36061"	"2016"	"2016"	"21 to 30 pounds"	"3"	86
	"New York County, NY"	"36061"	"2016"	"2016"	"31 to 40 pounds"	"4"	34
	"New York County, NY"	"36061"	"2016"	"2016"	"41 to 98 pounds"	"5"	23
	"New York County, NY"	"36061"	"2017"	"2017"	"Less than 11 pounds"	"1"	44
	"New York County, NY"	"36061"	"2017"	"2017"	"11 to 20 pounds"	"2"	84
	"New York County, NY"	"36061"	"2017"	"2017"	"21 to 30 pounds"	"3"	95
	"New York County, NY"	"36061"	"2017"	"2017"	"31 to 40 pounds"	"4"	62
	"New York County, NY"	"36061"	"2017"	"2017"	"41 to 98 pounds"	"5"	11
	"New York County, NY"	"36061"	"2018"	"2018"	"Less than 11 pounds"	"1"	46
	"New York County, NY"	"36061"	"2018"	"2018"	"11 to 20 pounds"	"2"	89
	"New York County, NY"	"36061"	"2018"	"2018"	"21 to 30 pounds"	"3"	98
	"New York County, NY"	"36061"	"2018"	"2018"	"31 to 40 pounds"	"4"	48
	"New York County, NY"	"36061"	"2018"	"2018"	"41 to 98 pounds"	"5"	20
	"New York County, NY"	"36061"	"2019"	"2019"	"Less than 11 pounds"	"1"	39
	"New York County, NY"	"36061"	"2019"	"2019"	"11 to 20 pounds"	"2"	83
	"New York County, NY"	"36061"	"2019"	"2019"	"21 to 30 pounds"	"3"	87
	"New York County, NY"	"36061"	"2019"	"2019"	"31 to 40 pounds"	"4"	27
	"New York County, NY"	"36061"	"2019"	"2019"	"41 to 98 pounds"	"5"	20
	"New York County, NY"	"36061"	"2020"	"2020"	"Less than 11 pounds"	"1"	52
	"New York County, NY"	"36061"	"2020"	"2020"	"11 to 20 pounds"	"2"	64
	"New York County, NY"	"36061"	"2020"	"2020"	"21 to 30 pounds"	"3"	73
	"New York County, NY"	"36061"	"2020"	"2020"	"31 to 40 pounds"	"4"	40
	"New York County, NY"	"36061"	"2020"	"2020"	"41 to 98 pounds"	"5"	18
	"New York County, NY"	"36061"	"2021"	"2021"	"Less than 11 pounds"	"1"	41
	"New York County, NY"	"36061"	"2021"	"2021"	"11 to 20 pounds"	"2"	75
	"New York County, NY"	"36061"	"2021"	"2021"	"21 to 30 pounds"	"3"	79
	"New York County, NY"	"36061"	"2021"	"2021"	"31 to 40 pounds"	"4"	36
	"New York County, NY"	"36061"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Niagara County, NY"	"36063"	"2016"	"2016"	"Less than 11 pounds"	"1"	11
	"Niagara County, NY"	"36063"	"2016"	"2016"	"11 to 20 pounds"	"2"	Suppressed
	"Niagara County, NY"	"36063"	"2016"	"2016"	"21 to 30 pounds"	"3"	10
	"Niagara County, NY"	"36063"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Niagara County, NY"	"36063"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Niagara County, NY"	"36063"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"Niagara County, NY"	"36063"	"2017"	"2017"	"11 to 20 pounds"	"2"	13
	"Niagara County, NY"	"36063"	"2017"	"2017"	"21 to 30 pounds"	"3"	10
	"Niagara County, NY"	"36063"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Niagara County, NY"	"36063"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Niagara County, NY"	"36063"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Niagara County, NY"	"36063"	"2018"	"2018"	"11 to 20 pounds"	"2"	11
	"Niagara County, NY"	"36063"	"2018"	"2018"	"21 to 30 pounds"	"3"	11
	"Niagara County, NY"	"36063"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Niagara County, NY"	"36063"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Niagara County, NY"	"36063"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"Niagara County, NY"	"36063"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Niagara County, NY"	"36063"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"Niagara County, NY"	"36063"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Niagara County, NY"	"36063"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Niagara County, NY"	"36063"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Niagara County, NY"	"36063"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"Niagara County, NY"	"36063"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Niagara County, NY"	"36063"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Niagara County, NY"	"36063"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Niagara County, NY"	"36063"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Niagara County, NY"	"36063"	"2021"	"2021"	"11 to 20 pounds"	"2"	11
	"Niagara County, NY"	"36063"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Niagara County, NY"	"36063"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Niagara County, NY"	"36063"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Oneida County, NY"	"36065"	"2016"	"2016"	"Less than 11 pounds"	"1"	13
	"Oneida County, NY"	"36065"	"2016"	"2016"	"11 to 20 pounds"	"2"	Suppressed
	"Oneida County, NY"	"36065"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Oneida County, NY"	"36065"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Oneida County, NY"	"36065"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Oneida County, NY"	"36065"	"2017"	"2017"	"Less than 11 pounds"	"1"	11
	"Oneida County, NY"	"36065"	"2017"	"2017"	"11 to 20 pounds"	"2"	19
	"Oneida County, NY"	"36065"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Oneida County, NY"	"36065"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Oneida County, NY"	"36065"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Oneida County, NY"	"36065"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Oneida County, NY"	"36065"	"2018"	"2018"	"11 to 20 pounds"	"2"	17
	"Oneida County, NY"	"36065"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Oneida County, NY"	"36065"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Oneida County, NY"	"36065"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Oneida County, NY"	"36065"	"2019"	"2019"	"Less than 11 pounds"	"1"	15
	"Oneida County, NY"	"36065"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Oneida County, NY"	"36065"	"2019"	"2019"	"21 to 30 pounds"	"3"	12
	"Oneida County, NY"	"36065"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Oneida County, NY"	"36065"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Oneida County, NY"	"36065"	"2020"	"2020"	"Less than 11 pounds"	"1"	20
	"Oneida County, NY"	"36065"	"2020"	"2020"	"11 to 20 pounds"	"2"	14
	"Oneida County, NY"	"36065"	"2020"	"2020"	"21 to 30 pounds"	"3"	13
	"Oneida County, NY"	"36065"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Oneida County, NY"	"36065"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Oneida County, NY"	"36065"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Oneida County, NY"	"36065"	"2021"	"2021"	"11 to 20 pounds"	"2"	16
	"Oneida County, NY"	"36065"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Oneida County, NY"	"36065"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Oneida County, NY"	"36065"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Onondaga County, NY"	"36067"	"2016"	"2016"	"Less than 11 pounds"	"1"	22
	"Onondaga County, NY"	"36067"	"2016"	"2016"	"11 to 20 pounds"	"2"	33
	"Onondaga County, NY"	"36067"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Onondaga County, NY"	"36067"	"2016"	"2016"	"31 to 40 pounds"	"4"	12
	"Onondaga County, NY"	"36067"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Onondaga County, NY"	"36067"	"2017"	"2017"	"Less than 11 pounds"	"1"	25
	"Onondaga County, NY"	"36067"	"2017"	"2017"	"11 to 20 pounds"	"2"	25
	"Onondaga County, NY"	"36067"	"2017"	"2017"	"21 to 30 pounds"	"3"	19
	"Onondaga County, NY"	"36067"	"2017"	"2017"	"31 to 40 pounds"	"4"	10
	"Onondaga County, NY"	"36067"	"2017"	"2017"	"41 to 98 pounds"	"5"	10
	"Onondaga County, NY"	"36067"	"2018"	"2018"	"Less than 11 pounds"	"1"	32
	"Onondaga County, NY"	"36067"	"2018"	"2018"	"11 to 20 pounds"	"2"	23
	"Onondaga County, NY"	"36067"	"2018"	"2018"	"21 to 30 pounds"	"3"	20
	"Onondaga County, NY"	"36067"	"2018"	"2018"	"31 to 40 pounds"	"4"	11
	"Onondaga County, NY"	"36067"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Onondaga County, NY"	"36067"	"2019"	"2019"	"Less than 11 pounds"	"1"	17
	"Onondaga County, NY"	"36067"	"2019"	"2019"	"11 to 20 pounds"	"2"	30
	"Onondaga County, NY"	"36067"	"2019"	"2019"	"21 to 30 pounds"	"3"	18
	"Onondaga County, NY"	"36067"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Onondaga County, NY"	"36067"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Onondaga County, NY"	"36067"	"2020"	"2020"	"Less than 11 pounds"	"1"	36
	"Onondaga County, NY"	"36067"	"2020"	"2020"	"11 to 20 pounds"	"2"	26
	"Onondaga County, NY"	"36067"	"2020"	"2020"	"21 to 30 pounds"	"3"	20
	"Onondaga County, NY"	"36067"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Onondaga County, NY"	"36067"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Onondaga County, NY"	"36067"	"2021"	"2021"	"Less than 11 pounds"	"1"	24
	"Onondaga County, NY"	"36067"	"2021"	"2021"	"11 to 20 pounds"	"2"	21
	"Onondaga County, NY"	"36067"	"2021"	"2021"	"21 to 30 pounds"	"3"	22
	"Onondaga County, NY"	"36067"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Onondaga County, NY"	"36067"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Ontario County, NY"	"36069"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Ontario County, NY"	"36069"	"2016"	"2016"	"11 to 20 pounds"	"2"	Suppressed
	"Ontario County, NY"	"36069"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Ontario County, NY"	"36069"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Ontario County, NY"	"36069"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Ontario County, NY"	"36069"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"Ontario County, NY"	"36069"	"2017"	"2017"	"11 to 20 pounds"	"2"	Suppressed
	"Ontario County, NY"	"36069"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Ontario County, NY"	"36069"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Ontario County, NY"	"36069"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Ontario County, NY"	"36069"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Ontario County, NY"	"36069"	"2018"	"2018"	"11 to 20 pounds"	"2"	Suppressed
	"Ontario County, NY"	"36069"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Ontario County, NY"	"36069"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Ontario County, NY"	"36069"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Ontario County, NY"	"36069"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"Ontario County, NY"	"36069"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Ontario County, NY"	"36069"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"Ontario County, NY"	"36069"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Ontario County, NY"	"36069"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Ontario County, NY"	"36069"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Ontario County, NY"	"36069"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"Ontario County, NY"	"36069"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Ontario County, NY"	"36069"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Ontario County, NY"	"36069"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Ontario County, NY"	"36069"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Ontario County, NY"	"36069"	"2021"	"2021"	"11 to 20 pounds"	"2"	Suppressed
	"Ontario County, NY"	"36069"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Ontario County, NY"	"36069"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Ontario County, NY"	"36069"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Orange County, NY"	"36071"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Orange County, NY"	"36071"	"2016"	"2016"	"11 to 20 pounds"	"2"	22
	"Orange County, NY"	"36071"	"2016"	"2016"	"21 to 30 pounds"	"3"	21
	"Orange County, NY"	"36071"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Orange County, NY"	"36071"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Orange County, NY"	"36071"	"2017"	"2017"	"Less than 11 pounds"	"1"	12
	"Orange County, NY"	"36071"	"2017"	"2017"	"11 to 20 pounds"	"2"	19
	"Orange County, NY"	"36071"	"2017"	"2017"	"21 to 30 pounds"	"3"	18
	"Orange County, NY"	"36071"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Orange County, NY"	"36071"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Orange County, NY"	"36071"	"2018"	"2018"	"Less than 11 pounds"	"1"	18
	"Orange County, NY"	"36071"	"2018"	"2018"	"11 to 20 pounds"	"2"	24
	"Orange County, NY"	"36071"	"2018"	"2018"	"21 to 30 pounds"	"3"	17
	"Orange County, NY"	"36071"	"2018"	"2018"	"31 to 40 pounds"	"4"	10
	"Orange County, NY"	"36071"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Orange County, NY"	"36071"	"2019"	"2019"	"Less than 11 pounds"	"1"	13
	"Orange County, NY"	"36071"	"2019"	"2019"	"11 to 20 pounds"	"2"	28
	"Orange County, NY"	"36071"	"2019"	"2019"	"21 to 30 pounds"	"3"	14
	"Orange County, NY"	"36071"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Orange County, NY"	"36071"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Orange County, NY"	"36071"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Orange County, NY"	"36071"	"2020"	"2020"	"11 to 20 pounds"	"2"	12
	"Orange County, NY"	"36071"	"2020"	"2020"	"21 to 30 pounds"	"3"	20
	"Orange County, NY"	"36071"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Orange County, NY"	"36071"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Orange County, NY"	"36071"	"2021"	"2021"	"Less than 11 pounds"	"1"	15
	"Orange County, NY"	"36071"	"2021"	"2021"	"11 to 20 pounds"	"2"	24
	"Orange County, NY"	"36071"	"2021"	"2021"	"21 to 30 pounds"	"3"	20
	"Orange County, NY"	"36071"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Orange County, NY"	"36071"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Oswego County, NY"	"36075"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Oswego County, NY"	"36075"	"2016"	"2016"	"11 to 20 pounds"	"2"	Suppressed
	"Oswego County, NY"	"36075"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Oswego County, NY"	"36075"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Oswego County, NY"	"36075"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Oswego County, NY"	"36075"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"Oswego County, NY"	"36075"	"2017"	"2017"	"11 to 20 pounds"	"2"	Suppressed
	"Oswego County, NY"	"36075"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Oswego County, NY"	"36075"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Oswego County, NY"	"36075"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Oswego County, NY"	"36075"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Oswego County, NY"	"36075"	"2018"	"2018"	"11 to 20 pounds"	"2"	Suppressed
	"Oswego County, NY"	"36075"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Oswego County, NY"	"36075"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Oswego County, NY"	"36075"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Oswego County, NY"	"36075"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"Oswego County, NY"	"36075"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Oswego County, NY"	"36075"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"Oswego County, NY"	"36075"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Oswego County, NY"	"36075"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Oswego County, NY"	"36075"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Oswego County, NY"	"36075"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"Oswego County, NY"	"36075"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Oswego County, NY"	"36075"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Oswego County, NY"	"36075"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Oswego County, NY"	"36075"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Oswego County, NY"	"36075"	"2021"	"2021"	"11 to 20 pounds"	"2"	Suppressed
	"Oswego County, NY"	"36075"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Oswego County, NY"	"36075"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Oswego County, NY"	"36075"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Queens County, NY"	"36081"	"2016"	"2016"	"Less than 11 pounds"	"1"	114
	"Queens County, NY"	"36081"	"2016"	"2016"	"11 to 20 pounds"	"2"	157
	"Queens County, NY"	"36081"	"2016"	"2016"	"21 to 30 pounds"	"3"	146
	"Queens County, NY"	"36081"	"2016"	"2016"	"31 to 40 pounds"	"4"	82
	"Queens County, NY"	"36081"	"2016"	"2016"	"41 to 98 pounds"	"5"	51
	"Queens County, NY"	"36081"	"2017"	"2017"	"Less than 11 pounds"	"1"	116
	"Queens County, NY"	"36081"	"2017"	"2017"	"11 to 20 pounds"	"2"	175
	"Queens County, NY"	"36081"	"2017"	"2017"	"21 to 30 pounds"	"3"	154
	"Queens County, NY"	"36081"	"2017"	"2017"	"31 to 40 pounds"	"4"	81
	"Queens County, NY"	"36081"	"2017"	"2017"	"41 to 98 pounds"	"5"	34
	"Queens County, NY"	"36081"	"2018"	"2018"	"Less than 11 pounds"	"1"	125
	"Queens County, NY"	"36081"	"2018"	"2018"	"11 to 20 pounds"	"2"	173
	"Queens County, NY"	"36081"	"2018"	"2018"	"21 to 30 pounds"	"3"	162
	"Queens County, NY"	"36081"	"2018"	"2018"	"31 to 40 pounds"	"4"	75
	"Queens County, NY"	"36081"	"2018"	"2018"	"41 to 98 pounds"	"5"	39
	"Queens County, NY"	"36081"	"2019"	"2019"	"Less than 11 pounds"	"1"	102
	"Queens County, NY"	"36081"	"2019"	"2019"	"11 to 20 pounds"	"2"	170
	"Queens County, NY"	"36081"	"2019"	"2019"	"21 to 30 pounds"	"3"	168
	"Queens County, NY"	"36081"	"2019"	"2019"	"31 to 40 pounds"	"4"	77
	"Queens County, NY"	"36081"	"2019"	"2019"	"41 to 98 pounds"	"5"	38
	"Queens County, NY"	"36081"	"2020"	"2020"	"Less than 11 pounds"	"1"	106
	"Queens County, NY"	"36081"	"2020"	"2020"	"11 to 20 pounds"	"2"	151
	"Queens County, NY"	"36081"	"2020"	"2020"	"21 to 30 pounds"	"3"	126
	"Queens County, NY"	"36081"	"2020"	"2020"	"31 to 40 pounds"	"4"	75
	"Queens County, NY"	"36081"	"2020"	"2020"	"41 to 98 pounds"	"5"	38
	"Queens County, NY"	"36081"	"2021"	"2021"	"Less than 11 pounds"	"1"	103
	"Queens County, NY"	"36081"	"2021"	"2021"	"11 to 20 pounds"	"2"	188
	"Queens County, NY"	"36081"	"2021"	"2021"	"21 to 30 pounds"	"3"	126
	"Queens County, NY"	"36081"	"2021"	"2021"	"31 to 40 pounds"	"4"	55
	"Queens County, NY"	"36081"	"2021"	"2021"	"41 to 98 pounds"	"5"	49
	"Rensselaer County, NY"	"36083"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Rensselaer County, NY"	"36083"	"2016"	"2016"	"11 to 20 pounds"	"2"	Suppressed
	"Rensselaer County, NY"	"36083"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Rensselaer County, NY"	"36083"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Rensselaer County, NY"	"36083"	"2017"	"2017"	"Less than 11 pounds"	"1"	10
	"Rensselaer County, NY"	"36083"	"2017"	"2017"	"11 to 20 pounds"	"2"	Suppressed
	"Rensselaer County, NY"	"36083"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Rensselaer County, NY"	"36083"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Rensselaer County, NY"	"36083"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Rensselaer County, NY"	"36083"	"2018"	"2018"	"11 to 20 pounds"	"2"	Suppressed
	"Rensselaer County, NY"	"36083"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Rensselaer County, NY"	"36083"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Rensselaer County, NY"	"36083"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"Rensselaer County, NY"	"36083"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Rensselaer County, NY"	"36083"	"2019"	"2019"	"21 to 30 pounds"	"3"	13
	"Rensselaer County, NY"	"36083"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Rensselaer County, NY"	"36083"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Rensselaer County, NY"	"36083"	"2020"	"2020"	"11 to 20 pounds"	"2"	14
	"Rensselaer County, NY"	"36083"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Rensselaer County, NY"	"36083"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Rensselaer County, NY"	"36083"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Rensselaer County, NY"	"36083"	"2021"	"2021"	"11 to 20 pounds"	"2"	Suppressed
	"Rensselaer County, NY"	"36083"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Rensselaer County, NY"	"36083"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Richmond County, NY"	"36085"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Richmond County, NY"	"36085"	"2016"	"2016"	"11 to 20 pounds"	"2"	20
	"Richmond County, NY"	"36085"	"2016"	"2016"	"21 to 30 pounds"	"3"	24
	"Richmond County, NY"	"36085"	"2016"	"2016"	"31 to 40 pounds"	"4"	10
	"Richmond County, NY"	"36085"	"2016"	"2016"	"41 to 98 pounds"	"5"	10
	"Richmond County, NY"	"36085"	"2017"	"2017"	"Less than 11 pounds"	"1"	11
	"Richmond County, NY"	"36085"	"2017"	"2017"	"11 to 20 pounds"	"2"	21
	"Richmond County, NY"	"36085"	"2017"	"2017"	"21 to 30 pounds"	"3"	28
	"Richmond County, NY"	"36085"	"2017"	"2017"	"31 to 40 pounds"	"4"	15
	"Richmond County, NY"	"36085"	"2017"	"2017"	"41 to 98 pounds"	"5"	17
	"Richmond County, NY"	"36085"	"2018"	"2018"	"Less than 11 pounds"	"1"	14
	"Richmond County, NY"	"36085"	"2018"	"2018"	"11 to 20 pounds"	"2"	21
	"Richmond County, NY"	"36085"	"2018"	"2018"	"21 to 30 pounds"	"3"	27
	"Richmond County, NY"	"36085"	"2018"	"2018"	"31 to 40 pounds"	"4"	16
	"Richmond County, NY"	"36085"	"2018"	"2018"	"41 to 98 pounds"	"5"	13
	"Richmond County, NY"	"36085"	"2019"	"2019"	"Less than 11 pounds"	"1"	21
	"Richmond County, NY"	"36085"	"2019"	"2019"	"11 to 20 pounds"	"2"	27
	"Richmond County, NY"	"36085"	"2019"	"2019"	"21 to 30 pounds"	"3"	26
