BoroName,BoroCode,race,year,total births,500-2500g births,Percentage
Bronx,2,Black or African American,2016,9142,746,0.0816014
Brooklyn,3,Black or African American,2016,9818,913,0.092992463
Manhattan,1,Black or African American,2016,2688,233,0.086681548
Queens,4,Black or African American,2016,5093,507,0.0995484
Staten Island,5,Black or African American,2016,781,76,0.09731114
