BoroCode,BoroName,Year,race,hispanic origin,total births,500-2500g births,percentage
3,"Kings County, NY",2021,Black or African American,Not Hispanic or Latino,6397,724,0.043926841
3,"Kings County, NY",2021,White,Hispanic or Latino,3660,221,0.018852459
3,"Kings County, NY",2021,White,Not Hispanic or Latino,15533,631,0.009592481
1,"New York County, NY",2016,Asian,Hispanic or Latino,244,20,0
1,"New York County, NY",2016,Asian,Not Hispanic or Latino,2585,150,0.011992263
1,"New York County, NY",2016,Black or African American,Hispanic or Latino,950,62,0.02
1,"New York County, NY",2016,Black or African American,Not Hispanic or Latino,1738,171,0.037974684
1,"New York County, NY",2016,White,Hispanic or Latino,2921,169,0.019856214
1,"New York County, NY",2016,White,Not Hispanic or Latino,6692,288,0.011207412
1,"New York County, NY",2017,Asian,Hispanic or Latino,250,21,0
1,"New York County, NY",2017,Asian,Not Hispanic or Latino,2455,136,0.008961303
1,"New York County, NY",2017,Black or African American,Hispanic or Latino,760,60,0.035526316
1,"New York County, NY",2017,Black or African American,Not Hispanic or Latino,1843,195,0.042864894
1,"New York County, NY",2017,White,Hispanic or Latino,2975,195,0.027226891
1,"New York County, NY",2017,White,Not Hispanic or Latino,7582,349,0.010815088
1,"New York County, NY",2018,Asian,Hispanic or Latino,33,0,0
1,"New York County, NY",2018,Asian,Not Hispanic or Latino,2310,149,0.016017316
1,"New York County, NY",2018,Black or African American,Hispanic or Latino,698,55,0.021489971
1,"New York County, NY",2018,Black or African American,Not Hispanic or Latino,1814,194,0.045203969
1,"New York County, NY",2018,White,Hispanic or Latino,3022,225,0.025148908
1,"New York County, NY",2018,White,Not Hispanic or Latino,7537,335,0.0131352
1,"New York County, NY",2019,Asian,Hispanic or Latino,32,0,0
1,"New York County, NY",2019,Asian,Not Hispanic or Latino,2324,132,0.013339071
1,"New York County, NY",2019,Black or African American,Hispanic or Latino,764,70,0.028795812
1,"New York County, NY",2019,Black or African American,Not Hispanic or Latino,1557,143,0.04238921
1,"New York County, NY",2019,White,Hispanic or Latino,2796,194,0.02360515
1,"New York County, NY",2019,White,Not Hispanic or Latino,7465,311,0.009778969
1,"New York County, NY",2020,Asian,Hispanic or Latino,30,0,0
1,"New York County, NY",2020,Asian,Not Hispanic or Latino,1904,123,0.016806723
1,"New York County, NY",2020,Black or African American,Hispanic or Latino,833,72,0.031212485
1,"New York County, NY",2020,Black or African American,Not Hispanic or Latino,1498,173,0.043391188
1,"New York County, NY",2020,White,Hispanic or Latino,2295,167,0.023093682
1,"New York County, NY",2020,White,Not Hispanic or Latino,6651,308,0.011877913
1,"New York County, NY",2021,Asian,Hispanic or Latino,40,0,0
1,"New York County, NY",2021,Asian,Not Hispanic or Latino,1815,121,0.015426997
1,"New York County, NY",2021,Black or African American,Hispanic or Latino,1103,92,0.024478694
