Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2010,6b,25-29,Other Hispanic,All,"3,008"
2010,6b,30-34,Other Hispanic,All,"2,482"
2010,6b,35-39,Other Hispanic,All,"1,251"
2010,6b,40-44,Other Hispanic,All,292
2010,6b,45+,Other Hispanic,All,17
2010,6b,N.S.,Other Hispanic,All,0
2010,6b,Total,Other Hispanic,1st - 3rd Month,"6,933"
2010,6b,<15,Other Hispanic,1st - 3rd Month,7
2010,6b,15-17,Other Hispanic,1st - 3rd Month,159
2010,6b,18-19,Other Hispanic,1st - 3rd Month,357
2010,6b,20-24,Other Hispanic,1st - 3rd Month,"1,622"
2010,6b,25-29,Other Hispanic,1st - 3rd Month,"1,977"
2010,6b,30-34,Other Hispanic,1st - 3rd Month,"1,699"
2010,6b,35-39,Other Hispanic,1st - 3rd Month,893
2010,6b,40-44,Other Hispanic,1st - 3rd Month,207
2010,6b,45+,Other Hispanic,1st - 3rd Month,12
2010,6b,N.S.,Other Hispanic,1st - 3rd Month,0
2010,6b,Total,Other Hispanic,4th - 6th Month,"2,843"
2010,6b,<15,Other Hispanic,4th - 6th Month,5
2010,6b,15-17,Other Hispanic,4th - 6th Month,129
2010,6b,18-19,Other Hispanic,4th - 6th Month,231
2010,6b,20-24,Other Hispanic,4th - 6th Month,776
2010,6b,25-29,Other Hispanic,4th - 6th Month,770
2010,6b,30-34,Other Hispanic,4th - 6th Month,585
2010,6b,35-39,Other Hispanic,4th - 6th Month,273
2010,6b,40-44,Other Hispanic,4th - 6th Month,71
2010,6b,45+,Other Hispanic,4th - 6th Month,3
2010,6b,N.S.,Other Hispanic,4th - 6th Month,0
2010,6b,Total,Other Hispanic,7th - 9th Month,514
2010,6b,<15,Other Hispanic,7th - 9th Month,0
2010,6b,15-17,Other Hispanic,7th - 9th Month,27
2010,6b,18-19,Other Hispanic,7th - 9th Month,69
2010,6b,20-24,Other Hispanic,7th - 9th Month,165
2010,6b,25-29,Other Hispanic,7th - 9th Month,122
2010,6b,30-34,Other Hispanic,7th - 9th Month,84
2010,6b,35-39,Other Hispanic,7th - 9th Month,39
2010,6b,40-44,Other Hispanic,7th - 9th Month,7
2010,6b,45+,Other Hispanic,7th - 9th Month,1
2010,6b,N.S.,Other Hispanic,7th - 9th Month,0
2010,6b,Total,Other Hispanic,No PNC,64
2010,6b,<15,Other Hispanic,No PNC,0
2010,6b,15-17,Other Hispanic,No PNC,5
2010,6b,18-19,Other Hispanic,No PNC,4
2010,6b,20-24,Other Hispanic,No PNC,19
2010,6b,25-29,Other Hispanic,No PNC,21
2010,6b,30-34,Other Hispanic,No PNC,12
2010,6b,35-39,Other Hispanic,No PNC,2
2010,6b,40-44,Other Hispanic,No PNC,1
2010,6b,45+,Other Hispanic,No PNC,0
2010,6b,N.S.,Other Hispanic,No PNC,0
2010,6b,Total,Other Hispanic,PNC Start Unk,298
2010,6b,<15,Other Hispanic,PNC Start Unk,3
2010,6b,15-17,Other Hispanic,PNC Start Unk,14
2010,6b,18-19,Other Hispanic,PNC Start Unk,20
2010,6b,20-24,Other Hispanic,PNC Start Unk,65
2010,6b,25-29,Other Hispanic,PNC Start Unk,79
2010,6b,30-34,Other Hispanic,PNC Start Unk,79
2010,6b,35-39,Other Hispanic,PNC Start Unk,32
2010,6b,40-44,Other Hispanic,PNC Start Unk,5
2010,6b,45+,Other Hispanic,PNC Start Unk,1
2010,6b,N.S.,Other Hispanic,PNC Start Unk,0
2010,6b,Total,Other Hispanic,PNC Unk,139
2010,6b,<15,Other Hispanic,PNC Unk,0
2010,6b,15-17,Other Hispanic,PNC Unk,7
2010,6b,18-19,Other Hispanic,PNC Unk,19
2010,6b,20-24,Other Hispanic,PNC Unk,38
2010,6b,25-29,Other Hispanic,PNC Unk,39
2010,6b,30-34,Other Hispanic,PNC Unk,23
2010,6b,35-39,Other Hispanic,PNC Unk,12
2010,6b,40-44,Other Hispanic,PNC Unk,1
2010,6b,45+,Other Hispanic,PNC Unk,0
2010,6b,N.S.,Other Hispanic,PNC Unk,0
2011,6b,Total,Total Births,All,"239,736"
2011,6b,<15,Total Births,All,180
2011,6b,15-17,Total Births,All,"3,811"
2011,6b,18-19,Total Births,All,"9,868"
2011,6b,20-24,Total Births,All,"45,929"
2011,6b,25-29,Total Births,All,"64,305"
2011,6b,30-34,Total Births,All,"67,655"
2011,6b,35-39,Total Births,All,"37,372"
2011,6b,40-44,Total Births,All,"9,795"
2011,6b,45+,Total Births,All,812
2011,6b,N.S.,Total Births,All,9
2011,6b,Total,Total Births,1st - 3rd Month,"167,091"
2011,6b,<15,Total Births,1st - 3rd Month,47
2011,6b,15-17,Total Births,1st - 3rd Month,"1,758"
2011,6b,18-19,Total Births,1st - 3rd Month,"5,427"
2011,6b,20-24,Total Births,1st - 3rd Month,"28,413"
2011,6b,25-29,Total Births,1st - 3rd Month,"45,458"
2011,6b,30-34,Total Births,1st - 3rd Month,"50,564"
2011,6b,35-39,Total Births,1st - 3rd Month,"27,865"
2011,6b,40-44,Total Births,1st - 3rd Month,"7,006"
2011,6b,45+,Total Births,1st - 3rd Month,553
2011,6b,N.S.,Total Births,1st - 3rd Month,0
2011,6b,Total,Total Births,4th - 6th Month,"49,230"
2011,6b,<15,Total Births,4th - 6th Month,76
2011,6b,15-17,Total Births,4th - 6th Month,"1,339"
2011,6b,18-19,Total Births,4th - 6th Month,"3,014"
2011,6b,20-24,Total Births,4th - 6th Month,"11,908"
2011,6b,25-29,Total Births,4th - 6th Month,"12,901"
2011,6b,30-34,Total Births,4th - 6th Month,"11,487"
2011,6b,35-39,Total Births,4th - 6th Month,"6,443"
2011,6b,40-44,Total Births,4th - 6th Month,"1,900"
2011,6b,45+,Total Births,4th - 6th Month,161
2011,6b,N.S.,Total Births,4th - 6th Month,1
2011,6b,Total,Total Births,7th - 9th Month,"11,123"
2011,6b,<15,Total Births,7th - 9th Month,33
2011,6b,15-17,Total Births,7th - 9th Month,393
2011,6b,18-19,Total Births,7th - 9th Month,769
2011,6b,20-24,Total Births,7th - 9th Month,"2,937"
2011,6b,25-29,Total Births,7th - 9th Month,"2,916"
2011,6b,30-34,Total Births,7th - 9th Month,"2,449"
2011,6b,35-39,Total Births,7th - 9th Month,"1,256"
2011,6b,40-44,Total Births,7th - 9th Month,330
2011,6b,45+,Total Births,7th - 9th Month,39
2011,6b,N.S.,Total Births,7th - 9th Month,1
2011,6b,Total,Total Births,No PNC,"1,608"
2011,6b,<15,Total Births,No PNC,7
2011,6b,15-17,Total Births,No PNC,79
2011,6b,18-19,Total Births,No PNC,127
2011,6b,20-24,Total Births,No PNC,442
2011,6b,25-29,Total Births,No PNC,376
2011,6b,30-34,Total Births,No PNC,302
2011,6b,35-39,Total Births,No PNC,189
2011,6b,40-44,Total Births,No PNC,83
2011,6b,45+,Total Births,No PNC,3
2011,6b,N.S.,Total Births,No PNC,0
2011,6b,Total,Total Births,PNC Start Unk,"6,783"
2011,6b,<15,Total Births,PNC Start Unk,16
2011,6b,15-17,Total Births,PNC Start Unk,145
2011,6b,18-19,Total Births,PNC Start Unk,316
2011,6b,20-24,Total Births,PNC Start Unk,"1,287"
2011,6b,25-29,Total Births,PNC Start Unk,"1,594"
2011,6b,30-34,Total Births,PNC Start Unk,"1,883"
2011,6b,35-39,Total Births,PNC Start Unk,"1,160"
2011,6b,40-44,Total Births,PNC Start Unk,331
2011,6b,45+,Total Births,PNC Start Unk,46
2011,6b,N.S.,Total Births,PNC Start Unk,5
2011,6b,Total,Total Births,PNC Unk,"3,901"
2011,6b,<15,Total Births,PNC Unk,1
2011,6b,15-17,Total Births,PNC Unk,97
2011,6b,18-19,Total Births,PNC Unk,215
2011,6b,20-24,Total Births,PNC Unk,942
2011,6b,25-29,Total Births,PNC Unk,"1,060"
2011,6b,30-34,Total Births,PNC Unk,970
2011,6b,35-39,Total Births,PNC Unk,459
2011,6b,40-44,Total Births,PNC Unk,145
2011,6b,45+,Total Births,PNC Unk,10
2011,6b,N.S.,Total Births,PNC Unk,2
2011,6b,Total,White Non-Hisp,All,"116,137"
2011,6b,<15,White Non-Hisp,All,29
2011,6b,15-17,White Non-Hisp,All,900
2011,6b,18-19,White Non-Hisp,All,"3,296"
2011,6b,20-24,White Non-Hisp,All,"18,756"
2011,6b,25-29,White Non-Hisp,All,"30,248"
2011,6b,30-34,White Non-Hisp,All,"37,054"
2011,6b,35-39,White Non-Hisp,All,"20,152"
2011,6b,40-44,White Non-Hisp,All,"5,227"
2011,6b,45+,White Non-Hisp,All,472
2011,6b,N.S.,White Non-Hisp,All,3
2011,6b,Total,White Non-Hisp,1st - 3rd Month,"88,031"
2011,6b,<15,White Non-Hisp,1st - 3rd Month,6
2011,6b,15-17,White Non-Hisp,1st - 3rd Month,485
2011,6b,18-19,White Non-Hisp,1st - 3rd Month,"2,075"
2011,6b,20-24,White Non-Hisp,1st - 3rd Month,"12,596"
2011,6b,25-29,White Non-Hisp,1st - 3rd Month,"23,114"
2011,6b,30-34,White Non-Hisp,1st - 3rd Month,"29,509"
2011,6b,35-39,White Non-Hisp,1st - 3rd Month,"15,949"
2011,6b,40-44,White Non-Hisp,1st - 3rd Month,"3,956"
2011,6b,45+,White Non-Hisp,1st - 3rd Month,341
2011,6b,N.S.,White Non-Hisp,1st - 3rd Month,0
2011,6b,Total,White Non-Hisp,4th - 6th Month,"18,787"
2011,6b,<15,White Non-Hisp,4th - 6th Month,10
2011,6b,15-17,White Non-Hisp,4th - 6th Month,258
2011,6b,18-19,White Non-Hisp,4th - 6th Month,831
2011,6b,20-24,White Non-Hisp,4th - 6th Month,"4,257"
2011,6b,25-29,White Non-Hisp,4th - 6th Month,"4,767"
2011,6b,30-34,White Non-Hisp,4th - 6th Month,"4,958"
2011,6b,35-39,White Non-Hisp,4th - 6th Month,"2,778"
2011,6b,40-44,White Non-Hisp,4th - 6th Month,841
2011,6b,45+,White Non-Hisp,4th - 6th Month,87
2011,6b,N.S.,White Non-Hisp,4th - 6th Month,0
2011,6b,Total,White Non-Hisp,7th - 9th Month,"2,927"
2011,6b,<15,White Non-Hisp,7th - 9th Month,5
2011,6b,15-17,White Non-Hisp,7th - 9th Month,72
2011,6b,18-19,White Non-Hisp,7th - 9th Month,156
2011,6b,20-24,White Non-Hisp,7th - 9th Month,808
2011,6b,25-29,White Non-Hisp,7th - 9th Month,799
2011,6b,30-34,White Non-Hisp,7th - 9th Month,654
2011,6b,35-39,White Non-Hisp,7th - 9th Month,324
2011,6b,40-44,White Non-Hisp,7th - 9th Month,99
2011,6b,45+,White Non-Hisp,7th - 9th Month,10
2011,6b,N.S.,White Non-Hisp,7th - 9th Month,0
2011,6b,Total,White Non-Hisp,No PNC,514
2011,6b,<15,White Non-Hisp,No PNC,1
2011,6b,15-17,White Non-Hisp,No PNC,18
2011,6b,18-19,White Non-Hisp,No PNC,30
2011,6b,20-24,White Non-Hisp,No PNC,117
2011,6b,25-29,White Non-Hisp,No PNC,121
2011,6b,30-34,White Non-Hisp,No PNC,120
2011,6b,35-39,White Non-Hisp,No PNC,73
2011,6b,40-44,White Non-Hisp,No PNC,33
2011,6b,45+,White Non-Hisp,No PNC,1
2011,6b,N.S.,White Non-Hisp,No PNC,0
2011,6b,Total,White Non-Hisp,PNC Start Unk,"4,157"
2011,6b,<15,White Non-Hisp,PNC Start Unk,7
2011,6b,15-17,White Non-Hisp,PNC Start Unk,48
2011,6b,18-19,White Non-Hisp,PNC Start Unk,156
2011,6b,20-24,White Non-Hisp,PNC Start Unk,678
2011,6b,25-29,White Non-Hisp,PNC Start Unk,955
2011,6b,30-34,White Non-Hisp,PNC Start Unk,"1,283"
2011,6b,35-39,White Non-Hisp,PNC Start Unk,777
2011,6b,40-44,White Non-Hisp,PNC Start Unk,222
2011,6b,45+,White Non-Hisp,PNC Start Unk,29
2011,6b,N.S.,White Non-Hisp,PNC Start Unk,2
2011,6b,Total,White Non-Hisp,PNC Unk,"1,721"
2011,6b,<15,White Non-Hisp,PNC Unk,0
2011,6b,15-17,White Non-Hisp,PNC Unk,19
2011,6b,18-19,White Non-Hisp,PNC Unk,48
2011,6b,20-24,White Non-Hisp,PNC Unk,300
2011,6b,25-29,White Non-Hisp,PNC Unk,492
2011,6b,30-34,White Non-Hisp,PNC Unk,530
2011,6b,35-39,White Non-Hisp,PNC Unk,251
2011,6b,40-44,White Non-Hisp,PNC Unk,76
2011,6b,45+,White Non-Hisp,PNC Unk,4
2011,6b,N.S.,White Non-Hisp,PNC Unk,1
2011,6b,Total,Black Non-Hisp,All,"37,730"
2011,6b,<15,Black Non-Hisp,All,58
2011,6b,15-17,Black Non-Hisp,All,"1,008"
2011,6b,18-19,Black Non-Hisp,All,"2,441"
2011,6b,20-24,Black Non-Hisp,All,"9,132"
2011,6b,25-29,Black Non-Hisp,All,"9,768"
2011,6b,30-34,Black Non-Hisp,All,"8,463"
2011,6b,35-39,Black Non-Hisp,All,"5,090"
2011,6b,40-44,Black Non-Hisp,All,"1,622"
2011,6b,45+,Black Non-Hisp,All,145
2011,6b,N.S.,Black Non-Hisp,All,3
2011,6b,Total,Black Non-Hisp,1st - 3rd Month,"22,809"
2011,6b,<15,Black Non-Hisp,1st - 3rd Month,15
2011,6b,15-17,Black Non-Hisp,1st - 3rd Month,416
2011,6b,18-19,Black Non-Hisp,1st - 3rd Month,"1,200"
2011,6b,20-24,Black Non-Hisp,1st - 3rd Month,"5,106"
2011,6b,25-29,Black Non-Hisp,1st - 3rd Month,"6,184"
2011,6b,30-34,Black Non-Hisp,1st - 3rd Month,"5,453"
2011,6b,35-39,Black Non-Hisp,1st - 3rd Month,"3,327"
2011,6b,40-44,Black Non-Hisp,1st - 3rd Month,"1,027"
2011,6b,45+,Black Non-Hisp,1st - 3rd Month,81
2011,6b,N.S.,Black Non-Hisp,1st - 3rd Month,0
2011,6b,Total,Black Non-Hisp,4th - 6th Month,"9,430"
2011,6b,<15,Black Non-Hisp,4th - 6th Month,22
2011,6b,15-17,Black Non-Hisp,4th - 6th Month,369
2011,6b,18-19,Black Non-Hisp,4th - 6th Month,801
2011,6b,20-24,Black Non-Hisp,4th - 6th Month,"2,560"
2011,6b,25-29,Black Non-Hisp,4th - 6th Month,"2,299"
2011,6b,30-34,Black Non-Hisp,4th - 6th Month,"1,828"
2011,6b,35-39,Black Non-Hisp,4th - 6th Month,"1,125"
2011,6b,40-44,Black Non-Hisp,4th - 6th Month,389
2011,6b,45+,Black Non-Hisp,4th - 6th Month,37
2011,6b,N.S.,Black Non-Hisp,4th - 6th Month,0
2011,6b,Total,Black Non-Hisp,7th - 9th Month,"3,157"
2011,6b,<15,Black Non-Hisp,7th - 9th Month,16
2011,6b,15-17,Black Non-Hisp,7th - 9th Month,110
2011,6b,18-19,Black Non-Hisp,7th - 9th Month,228
2011,6b,20-24,Black Non-Hisp,7th - 9th Month,774
2011,6b,25-29,Black Non-Hisp,7th - 9th Month,732
2011,6b,30-34,Black Non-Hisp,7th - 9th Month,769
2011,6b,35-39,Black Non-Hisp,7th - 9th Month,403
2011,6b,40-44,Black Non-Hisp,7th - 9th Month,103
2011,6b,45+,Black Non-Hisp,7th - 9th Month,22
2011,6b,N.S.,Black Non-Hisp,7th - 9th Month,0
2011,6b,Total,Black Non-Hisp,No PNC,525
2011,6b,<15,Black Non-Hisp,No PNC,1
2011,6b,15-17,Black Non-Hisp,No PNC,25
2011,6b,18-19,Black Non-Hisp,No PNC,48
2011,6b,20-24,Black Non-Hisp,No PNC,147
2011,6b,25-29,Black Non-Hisp,No PNC,126
2011,6b,30-34,Black Non-Hisp,No PNC,92
2011,6b,35-39,Black Non-Hisp,No PNC,58
2011,6b,40-44,Black Non-Hisp,No PNC,27
2011,6b,45+,Black Non-Hisp,No PNC,1
2011,6b,N.S.,Black Non-Hisp,No PNC,0
2011,6b,Total,Black Non-Hisp,PNC Start Unk,913
2011,6b,<15,Black Non-Hisp,PNC Start Unk,4
2011,6b,15-17,Black Non-Hisp,PNC Start Unk,52
2011,6b,18-19,Black Non-Hisp,PNC Start Unk,71
2011,6b,20-24,Black Non-Hisp,PNC Start Unk,245
2011,6b,25-29,Black Non-Hisp,PNC Start Unk,215
2011,6b,30-34,Black Non-Hisp,PNC Start Unk,157
2011,6b,35-39,Black Non-Hisp,PNC Start Unk,111
2011,6b,40-44,Black Non-Hisp,PNC Start Unk,51
2011,6b,45+,Black Non-Hisp,PNC Start Unk,4
2011,6b,N.S.,Black Non-Hisp,PNC Start Unk,3
2011,6b,Total,Black Non-Hisp,PNC Unk,896
2011,6b,<15,Black Non-Hisp,PNC Unk,0
2011,6b,15-17,Black Non-Hisp,PNC Unk,36
2011,6b,18-19,Black Non-Hisp,PNC Unk,93
2011,6b,20-24,Black Non-Hisp,PNC Unk,300
2011,6b,25-29,Black Non-Hisp,PNC Unk,212
2011,6b,30-34,Black Non-Hisp,PNC Unk,164
2011,6b,35-39,Black Non-Hisp,PNC Unk,66
2011,6b,40-44,Black Non-Hisp,PNC Unk,25
2011,6b,45+,Black Non-Hisp,PNC Unk,0
2011,6b,N.S.,Black Non-Hisp,PNC Unk,0
2011,6b,Total,Other Non-Hisp,All,"28,676"
2011,6b,<15,Other Non-Hisp,All,8
2011,6b,15-17,Other Non-Hisp,All,178
2011,6b,18-19,Other Non-Hisp,All,483
2011,6b,20-24,Other Non-Hisp,All,"3,722"
2011,6b,25-29,Other Non-Hisp,All,"8,582"
2011,6b,30-34,Other Non-Hisp,All,"9,178"
2011,6b,35-39,Other Non-Hisp,All,"5,239"
2011,6b,40-44,Other Non-Hisp,All,"1,186"
2011,6b,45+,Other Non-Hisp,All,100
2011,6b,N.S.,Other Non-Hisp,All,0
2011,6b,Total,Other Non-Hisp,1st - 3rd Month,"19,880"
2011,6b,<15,Other Non-Hisp,1st - 3rd Month,2
2011,6b,15-17,Other Non-Hisp,1st - 3rd Month,64
2011,6b,18-19,Other Non-Hisp,1st - 3rd Month,260
2011,6b,20-24,Other Non-Hisp,1st - 3rd Month,"2,239"
2011,6b,25-29,Other Non-Hisp,1st - 3rd Month,"5,904"
2011,6b,30-34,Other Non-Hisp,1st - 3rd Month,"6,693"
2011,6b,35-39,Other Non-Hisp,1st - 3rd Month,"3,824"
2011,6b,40-44,Other Non-Hisp,1st - 3rd Month,831
2011,6b,45+,Other Non-Hisp,1st - 3rd Month,63
2011,6b,N.S.,Other Non-Hisp,1st - 3rd Month,0
2011,6b,Total,Other Non-Hisp,4th - 6th Month,"6,332"
2011,6b,<15,Other Non-Hisp,4th - 6th Month,3
2011,6b,15-17,Other Non-Hisp,4th - 6th Month,70
2011,6b,18-19,Other Non-Hisp,4th - 6th Month,141
2011,6b,20-24,Other Non-Hisp,4th - 6th Month,"1,041"
2011,6b,25-29,Other Non-Hisp,4th - 6th Month,"1,945"
2011,6b,30-34,Other Non-Hisp,4th - 6th Month,"1,808"
2011,6b,35-39,Other Non-Hisp,4th - 6th Month,"1,037"
2011,6b,40-44,Other Non-Hisp,4th - 6th Month,262
2011,6b,45+,Other Non-Hisp,4th - 6th Month,25
2011,6b,N.S.,Other Non-Hisp,4th - 6th Month,0
2011,6b,Total,Other Non-Hisp,7th - 9th Month,"1,519"
2011,6b,<15,Other Non-Hisp,7th - 9th Month,1
2011,6b,15-17,Other Non-Hisp,7th - 9th Month,24
2011,6b,18-19,Other Non-Hisp,7th - 9th Month,51
2011,6b,20-24,Other Non-Hisp,7th - 9th Month,282
2011,6b,25-29,Other Non-Hisp,7th - 9th Month,507
2011,6b,30-34,Other Non-Hisp,7th - 9th Month,396
2011,6b,35-39,Other Non-Hisp,7th - 9th Month,208
2011,6b,40-44,Other Non-Hisp,7th - 9th Month,44
2011,6b,45+,Other Non-Hisp,7th - 9th Month,6
2011,6b,N.S.,Other Non-Hisp,7th - 9th Month,0
2011,6b,Total,Other Non-Hisp,No PNC,128
2011,6b,<15,Other Non-Hisp,No PNC,1
2011,6b,15-17,Other Non-Hisp,No PNC,4
2011,6b,18-19,Other Non-Hisp,No PNC,11
2011,6b,20-24,Other Non-Hisp,No PNC,39
2011,6b,25-29,Other Non-Hisp,No PNC,31
2011,6b,30-34,Other Non-Hisp,No PNC,19
2011,6b,35-39,Other Non-Hisp,No PNC,14
2011,6b,40-44,Other Non-Hisp,No PNC,9
2011,6b,45+,Other Non-Hisp,No PNC,0
2011,6b,N.S.,Other Non-Hisp,No PNC,0
2011,6b,Total,Other Non-Hisp,PNC Start Unk,488
2011,6b,<15,Other Non-Hisp,PNC Start Unk,1
2011,6b,15-17,Other Non-Hisp,PNC Start Unk,13
2011,6b,18-19,Other Non-Hisp,PNC Start Unk,9
2011,6b,20-24,Other Non-Hisp,PNC Start Unk,69
2011,6b,25-29,Other Non-Hisp,PNC Start Unk,105
2011,6b,30-34,Other Non-Hisp,PNC Start Unk,158
2011,6b,35-39,Other Non-Hisp,PNC Start Unk,105
2011,6b,40-44,Other Non-Hisp,PNC Start Unk,24
2011,6b,45+,Other Non-Hisp,PNC Start Unk,4
2011,6b,N.S.,Other Non-Hisp,PNC Start Unk,0
2011,6b,Total,Other Non-Hisp,PNC Unk,329
2011,6b,<15,Other Non-Hisp,PNC Unk,0
2011,6b,15-17,Other Non-Hisp,PNC Unk,3
2011,6b,18-19,Other Non-Hisp,PNC Unk,11
2011,6b,20-24,Other Non-Hisp,PNC Unk,52
2011,6b,25-29,Other Non-Hisp,PNC Unk,90
2011,6b,30-34,Other Non-Hisp,PNC Unk,104
2011,6b,35-39,Other Non-Hisp,PNC Unk,51
2011,6b,40-44,Other Non-Hisp,PNC Unk,16
2011,6b,45+,Other Non-Hisp,PNC Unk,2
2011,6b,N.S.,Other Non-Hisp,PNC Unk,0
2011,6b,Total,White Hispanic,All,"30,396"
2011,6b,<15,White Hispanic,All,38
2011,6b,15-17,White Hispanic,All,875
2011,6b,18-19,White Hispanic,All,"1,815"
2011,6b,20-24,White Hispanic,All,"7,401"
2011,6b,25-29,White Hispanic,All,"8,260"
2011,6b,30-34,White Hispanic,All,"7,124"
2011,6b,35-39,White Hispanic,All,"3,862"
2011,6b,40-44,White Hispanic,All,962
2011,6b,45+,White Hispanic,All,57
2011,6b,N.S.,White Hispanic,All,2
2011,6b,Total,White Hispanic,1st - 3rd Month,"19,602"
2011,6b,<15,White Hispanic,1st - 3rd Month,11
2011,6b,15-17,White Hispanic,1st - 3rd Month,415
2011,6b,18-19,White Hispanic,1st - 3rd Month,941
2011,6b,20-24,White Hispanic,1st - 3rd Month,"4,420"
2011,6b,25-29,White Hispanic,1st - 3rd Month,"5,419"
2011,6b,30-34,White Hispanic,1st - 3rd Month,"4,963"
2011,6b,35-39,White Hispanic,1st - 3rd Month,"2,732"
2011,6b,40-44,White Hispanic,1st - 3rd Month,657
2011,6b,45+,White Hispanic,1st - 3rd Month,44
2011,6b,N.S.,White Hispanic,1st - 3rd Month,0
2011,6b,Total,White Hispanic,4th - 6th Month,"7,471"
2011,6b,<15,White Hispanic,4th - 6th Month,16
2011,6b,15-17,White Hispanic,4th - 6th Month,313
2011,6b,18-19,White Hispanic,4th - 6th Month,606
2011,6b,20-24,White Hispanic,4th - 6th Month,"2,017"
2011,6b,25-29,White Hispanic,4th - 6th Month,"1,987"
2011,6b,30-34,White Hispanic,4th - 6th Month,"1,516"
2011,6b,35-39,White Hispanic,4th - 6th Month,784
2011,6b,40-44,White Hispanic,4th - 6th Month,226
2011,6b,45+,White Hispanic,4th - 6th Month,5
2011,6b,N.S.,White Hispanic,4th - 6th Month,1
2011,6b,Total,White Hispanic,7th - 9th Month,"1,913"
2011,6b,<15,White Hispanic,7th - 9th Month,6
2011,6b,15-17,White Hispanic,7th - 9th Month,90
2011,6b,18-19,White Hispanic,7th - 9th Month,179
2011,6b,20-24,White Hispanic,7th - 9th Month,579
2011,6b,25-29,White Hispanic,7th - 9th Month,489
2011,6b,30-34,White Hispanic,7th - 9th Month,349
2011,6b,35-39,White Hispanic,7th - 9th Month,173
2011,6b,40-44,White Hispanic,7th - 9th Month,47
2011,6b,45+,White Hispanic,7th - 9th Month,0
2011,6b,N.S.,White Hispanic,7th - 9th Month,1
2011,6b,Total,White Hispanic,No PNC,262
2011,6b,<15,White Hispanic,No PNC,3
2011,6b,15-17,White Hispanic,No PNC,19
2011,6b,18-19,White Hispanic,No PNC,24
2011,6b,20-24,White Hispanic,No PNC,86
2011,6b,25-29,White Hispanic,No PNC,62
2011,6b,30-34,White Hispanic,No PNC,40
2011,6b,35-39,White Hispanic,No PNC,25
2011,6b,40-44,White Hispanic,No PNC,2
2011,6b,45+,White Hispanic,No PNC,1
2011,6b,N.S.,White Hispanic,No PNC,0
2011,6b,Total,White Hispanic,PNC Start Unk,694
2011,6b,<15,White Hispanic,PNC Start Unk,2
2011,6b,15-17,White Hispanic,PNC Start Unk,17
2011,6b,18-19,White Hispanic,PNC Start Unk,36
2011,6b,20-24,White Hispanic,PNC Start Unk,156
2011,6b,25-29,White Hispanic,PNC Start Unk,179
2011,6b,30-34,White Hispanic,PNC Start Unk,175
2011,6b,35-39,White Hispanic,PNC Start Unk,107
2011,6b,40-44,White Hispanic,PNC Start Unk,18
2011,6b,45+,White Hispanic,PNC Start Unk,4
2011,6b,N.S.,White Hispanic,PNC Start Unk,0
2011,6b,Total,White Hispanic,PNC Unk,454
2011,6b,<15,White Hispanic,PNC Unk,0
2011,6b,15-17,White Hispanic,PNC Unk,21
2011,6b,18-19,White Hispanic,PNC Unk,29
2011,6b,20-24,White Hispanic,PNC Unk,143
2011,6b,25-29,White Hispanic,PNC Unk,124
2011,6b,30-34,White Hispanic,PNC Unk,81
2011,6b,35-39,White Hispanic,PNC Unk,41
2011,6b,40-44,White Hispanic,PNC Unk,12
2011,6b,45+,White Hispanic,PNC Unk,3
2011,6b,N.S.,White Hispanic,PNC Unk,0
2011,6b,Total,Black Hispanic,All,"4,907"
2011,6b,<15,Black Hispanic,All,14
2011,6b,15-17,Black Hispanic,All,160
2011,6b,18-19,Black Hispanic,All,379
2011,6b,20-24,Black Hispanic,All,"1,415"
2011,6b,25-29,Black Hispanic,All,"1,340"
2011,6b,30-34,Black Hispanic,All,956
2011,6b,35-39,Black Hispanic,All,507
2011,6b,40-44,Black Hispanic,All,132
2011,6b,45+,Black Hispanic,All,4
2011,6b,N.S.,Black Hispanic,All,0
2011,6b,Total,Black Hispanic,1st - 3rd Month,"2,995"
2011,6b,<15,Black Hispanic,1st - 3rd Month,2
2011,6b,15-17,Black Hispanic,1st - 3rd Month,68
2011,6b,18-19,Black Hispanic,1st - 3rd Month,181
2011,6b,20-24,Black Hispanic,1st - 3rd Month,803
2011,6b,25-29,Black Hispanic,1st - 3rd Month,876
2011,6b,30-34,Black Hispanic,1st - 3rd Month,638
2011,6b,35-39,Black Hispanic,1st - 3rd Month,337
2011,6b,40-44,Black Hispanic,1st - 3rd Month,88
2011,6b,45+,Black Hispanic,1st - 3rd Month,2
2011,6b,N.S.,Black Hispanic,1st - 3rd Month,0
2011,6b,Total,Black Hispanic,4th - 6th Month,"1,326"
2011,6b,<15,Black Hispanic,4th - 6th Month,10
2011,6b,15-17,Black Hispanic,4th - 6th Month,60
2011,6b,18-19,Black Hispanic,4th - 6th Month,136
2011,6b,20-24,Black Hispanic,4th - 6th Month,431
2011,6b,25-29,Black Hispanic,4th - 6th Month,324
2011,6b,30-34,Black Hispanic,4th - 6th Month,225
2011,6b,35-39,Black Hispanic,4th - 6th Month,105
2011,6b,40-44,Black Hispanic,4th - 6th Month,34
2011,6b,45+,Black Hispanic,4th - 6th Month,1
2011,6b,N.S.,Black Hispanic,4th - 6th Month,0
2011,6b,Total,Black Hispanic,7th - 9th Month,443
2011,6b,<15,Black Hispanic,7th - 9th Month,1
