Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2008,6b,20-24,White Non-Hisp,7th - 9th Month,864
2008,6b,25-29,White Non-Hisp,7th - 9th Month,752
2008,6b,30-34,White Non-Hisp,7th - 9th Month,584
2008,6b,35-39,White Non-Hisp,7th - 9th Month,317
2008,6b,40-44,White Non-Hisp,7th - 9th Month,88
2008,6b,45+,White Non-Hisp,7th - 9th Month,9
2008,6b,N.S.,White Non-Hisp,7th - 9th Month,0
2008,6b,Total,White Non-Hisp,No PNC,664
2008,6b,<15,White Non-Hisp,No PNC,0
2008,6b,15-17,White Non-Hisp,No PNC,13
2008,6b,18-19,White Non-Hisp,No PNC,33
2008,6b,20-24,White Non-Hisp,No PNC,174
2008,6b,25-29,White Non-Hisp,No PNC,161
2008,6b,30-34,White Non-Hisp,No PNC,155
2008,6b,35-39,White Non-Hisp,No PNC,91
2008,6b,40-44,White Non-Hisp,No PNC,33
2008,6b,45+,White Non-Hisp,No PNC,3
2008,6b,N.S.,White Non-Hisp,No PNC,1
2008,6b,Total,White Non-Hisp,PNC Start Unk,"5,287"
2008,6b,<15,White Non-Hisp,PNC Start Unk,2
2008,6b,15-17,White Non-Hisp,PNC Start Unk,63
2008,6b,18-19,White Non-Hisp,PNC Start Unk,156
2008,6b,20-24,White Non-Hisp,PNC Start Unk,867
2008,6b,25-29,White Non-Hisp,PNC Start Unk,"1,265"
2008,6b,30-34,White Non-Hisp,PNC Start Unk,"1,541"
2008,6b,35-39,White Non-Hisp,PNC Start Unk,"1,045"
2008,6b,40-44,White Non-Hisp,PNC Start Unk,300
2008,6b,45+,White Non-Hisp,PNC Start Unk,37
2008,6b,N.S.,White Non-Hisp,PNC Start Unk,11
2008,6b,Total,White Non-Hisp,PNC Unk,"4,291"
2008,6b,<15,White Non-Hisp,PNC Unk,2
2008,6b,15-17,White Non-Hisp,PNC Unk,21
2008,6b,18-19,White Non-Hisp,PNC Unk,112
2008,6b,20-24,White Non-Hisp,PNC Unk,746
2008,6b,25-29,White Non-Hisp,PNC Unk,"1,025"
2008,6b,30-34,White Non-Hisp,PNC Unk,"1,272"
2008,6b,35-39,White Non-Hisp,PNC Unk,846
2008,6b,40-44,White Non-Hisp,PNC Unk,242
2008,6b,45+,White Non-Hisp,PNC Unk,25
2008,6b,N.S.,White Non-Hisp,PNC Unk,0
2008,6b,Total,Black Non-Hisp,All,"40,283"
2008,6b,<15,Black Non-Hisp,All,87
2008,6b,15-17,Black Non-Hisp,All,"1,496"
2008,6b,18-19,Black Non-Hisp,All,"3,095"
2008,6b,20-24,Black Non-Hisp,All,"10,260"
2008,6b,25-29,Black Non-Hisp,All,"10,315"
2008,6b,30-34,Black Non-Hisp,All,"8,293"
2008,6b,35-39,Black Non-Hisp,All,"5,098"
2008,6b,40-44,Black Non-Hisp,All,"1,523"
2008,6b,45+,Black Non-Hisp,All,113
2008,6b,N.S.,Black Non-Hisp,All,3
2008,6b,Total,Black Non-Hisp,1st - 3rd Month,"22,393"
2008,6b,<15,Black Non-Hisp,1st - 3rd Month,14
2008,6b,15-17,Black Non-Hisp,1st - 3rd Month,533
2008,6b,18-19,Black Non-Hisp,1st - 3rd Month,"1,384"
2008,6b,20-24,Black Non-Hisp,1st - 3rd Month,"5,292"
2008,6b,25-29,Black Non-Hisp,1st - 3rd Month,"6,017"
2008,6b,30-34,Black Non-Hisp,1st - 3rd Month,"5,087"
