Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Infant Birth Weight 12	Infant Birth Weight 12 Code	Year	Year Code	Births
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2016	2016	15
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2017	2017	16
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2018	2018	16
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2019	2019	17
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2021	2021	17
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2016	2016	62
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2017	2017	82
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2018	2018	69
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2019	2019	70
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2020	2020	62
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2021	2021	60
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2016	2016	127
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2017	2017	137
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2018	2018	119
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2019	2019	124
