Year,Table,County,Mother's Race,Number of Live Births
2008,9,New York State,Total,249655
2008,9,New York State,White Only Non-Hisp,120899
2008,9,New York State,Black Only Non-Hisp,40297
2008,9,New York State,Other Non-Hisp,28110
2008,9,New York State,White Only Hispanic,43970
2008,9,New York State,Black Only Hispanic,5265
2008,9,New York State,Total Non-Hispanic,189758
2008,9,New York State,Total Hispanic,59897
2008,9,New York City,Total,121756
2008,9,New York City,White Only Non-Hisp,34447
2008,9,New York City,Black Only Non-Hisp,27612
2008,9,New York City,Other Non-Hisp,19838
2008,9,New York City,White Only Hispanic,32041
2008,9,New York City,Black Only Hispanic,4579
2008,9,New York City,Total Non-Hispanic,82122
2008,9,New York City,Total Hispanic,39634
2008,9,Bronx,Total,23011
2008,9,Bronx,White Only Non-Hisp,1553
2008,9,Bronx,Black Only Non-Hisp,7073
2008,9,Bronx,Other Non-Hisp,1211
2008,9,Bronx,White Only Hispanic,10026
2008,9,Bronx,Black Only Hispanic,2484
2008,9,Bronx,Total Non-Hispanic,9866
2008,9,Bronx,Total Hispanic,13145
2008,9,Kings,Total,41623
2008,9,Kings,White Only Non-Hisp,14589
2008,9,Kings,Black Only Non-Hisp,11811
2008,9,Kings,Other Non-Hisp,6291
2008,9,Kings,White Only Hispanic,6859
2008,9,Kings,Black Only Hispanic,979
2008,9,Kings,Total Non-Hispanic,32768
2008,9,Kings,Total Hispanic,8855
2008,9,New York,Total,20306
2008,9,New York,White Only Non-Hisp,8520
2008,9,New York,Black Only Non-Hisp,2578
2008,9,New York,Other Non-Hisp,3305
2008,9,New York,White Only Hispanic,4859
2008,9,New York,Black Only Hispanic,551
2008,9,New York,Total Non-Hispanic,14466
2008,9,New York,Total Hispanic,5840
2008,9,Queens,Total,31063
2008,9,Queens,White Only Non-Hisp,6649
2008,9,Queens,Black Only Non-Hisp,5438
2008,9,Queens,Other Non-Hisp,8536
2008,9,Queens,White Only Hispanic,9039
2008,9,Queens,Black Only Hispanic,493
2008,9,Queens,Total Non-Hispanic,20675
2008,9,Queens,Total Hispanic,10388
2008,9,Richmond,Total,5753
2008,9,Richmond,White Only Non-Hisp,3136
2008,9,Richmond,Black Only Non-Hisp,712
2008,9,Richmond,Other Non-Hisp,495
2008,9,Richmond,White Only Hispanic,1258
2008,9,Richmond,Black Only Hispanic,72
2008,9,Richmond,Total Non-Hispanic,4347
2008,9,Richmond,Total Hispanic,1406
2008,9,Rest of State,Total,127899
2008,9,Rest of State,White Only Non-Hisp,86452
2008,9,Rest of State,Black Only Non-Hisp,12685
2008,9,Rest of State,Other Non-Hisp,8272
2008,9,Rest of State,White Only Hispanic,11929
2008,9,Rest of State,Black Only Hispanic,686
2008,9,Rest of State,Total Non-Hispanic,107636
2008,9,Rest of State,Total Hispanic,20263
2008,9,Albany,Total,3140
2008,9,Albany,White Only Non-Hisp,1968
2008,9,Albany,Black Only Non-Hisp,566
2008,9,Albany,Other Non-Hisp,353
2008,9,Albany,White Only Hispanic,144
2008,9,Albany,Black Only Hispanic,23
2008,9,Albany,Total Non-Hispanic,2888
2008,9,Albany,Total Hispanic,252
2008,9,Allegany,Total,519
2008,9,Allegany,White Only Non-Hisp,502
2008,9,Allegany,Black Only Non-Hisp,3
2008,9,Allegany,Other Non-Hisp,8
2008,9,Allegany,White Only Hispanic,3
2008,9,Allegany,Black Only Hispanic,0
2008,9,Allegany,Total Non-Hispanic,514
2008,9,Allegany,Total Hispanic,5
2008,9,Broome,Total,2074
2008,9,Broome,White Only Non-Hisp,1761
2008,9,Broome,Black Only Non-Hisp,92
2008,9,Broome,Other Non-Hisp,126
2008,9,Broome,White Only Hispanic,28
2008,9,Broome,Black Only Hispanic,9
2008,9,Broome,Total Non-Hispanic,1979
2008,9,Broome,Total Hispanic,95
2008,9,Cattaraugus,Total,1010
2008,9,Cattaraugus,White Only Non-Hisp,838
2008,9,Cattaraugus,Black Only Non-Hisp,9
2008,9,Cattaraugus,Other Non-Hisp,70
2008,9,Cattaraugus,White Only Hispanic,11
2008,9,Cattaraugus,Black Only Hispanic,0
2008,9,Cattaraugus,Total Non-Hispanic,994
2008,9,Cattaraugus,Total Hispanic,16
2008,9,Cayuga,Total,836
2008,9,Cayuga,White Only Non-Hisp,779
2008,9,Cayuga,Black Only Non-Hisp,15
2008,9,Cayuga,Other Non-Hisp,17
2008,9,Cayuga,White Only Hispanic,7
2008,9,Cayuga,Black Only Hispanic,2
2008,9,Cayuga,Total Non-Hispanic,814
2008,9,Cayuga,Total Hispanic,22
2008,9,Chautauqua,Total,1395
2008,9,Chautauqua,White Only Non-Hisp,1172
2008,9,Chautauqua,Black Only Non-Hisp,26
2008,9,Chautauqua,Other Non-Hisp,43
2008,9,Chautauqua,White Only Hispanic,104
2008,9,Chautauqua,Black Only Hispanic,5
2008,9,Chautauqua,Total Non-Hispanic,1265
2008,9,Chautauqua,Total Hispanic,130
2008,9,Chemung,Total,957
2008,9,Chemung,White Only Non-Hisp,858
2008,9,Chemung,Black Only Non-Hisp,37
2008,9,Chemung,Other Non-Hisp,41
2008,9,Chemung,White Only Hispanic,6
2008,9,Chemung,Black Only Hispanic,3
2008,9,Chemung,Total Non-Hispanic,936
2008,9,Chemung,Total Hispanic,21
2008,9,Chenango,Total,540
2008,9,Chenango,White Only Non-Hisp,518
2008,9,Chenango,Black Only Non-Hisp,3
2008,9,Chenango,Other Non-Hisp,9
2008,9,Chenango,White Only Hispanic,7
2008,9,Chenango,Black Only Hispanic,0
2008,9,Chenango,Total Non-Hispanic,530
2008,9,Chenango,Total Hispanic,10
2008,9,Clinton,Total,768
2008,9,Clinton,White Only Non-Hisp,740
2008,9,Clinton,Black Only Non-Hisp,2
2008,9,Clinton,Other Non-Hisp,16
2008,9,Clinton,White Only Hispanic,7
2008,9,Clinton,Black Only Hispanic,0
2008,9,Clinton,Total Non-Hispanic,760
2009,9,Kings,Total,42101
2008,9,Clinton,Total Hispanic,8
2008,9,Columbia,Total,614
2008,9,Columbia,White Only Non-Hisp,502
2008,9,Columbia,Black Only Non-Hisp,38
2008,9,Columbia,Other Non-Hisp,29
2008,9,Columbia,White Only Hispanic,4
2008,9,Columbia,Black Only Hispanic,0
2008,9,Columbia,Total Non-Hispanic,572
2008,9,Columbia,Total Hispanic,42
2008,9,Cortland,Total,574
2008,9,Cortland,White Only Non-Hisp,553
2008,9,Cortland,Black Only Non-Hisp,2
2008,9,Cortland,Other Non-Hisp,8
2008,9,Cortland,White Only Hispanic,6
2008,9,Cortland,Black Only Hispanic,1
2008,9,Cortland,Total Non-Hispanic,563
2008,9,Cortland,Total Hispanic,11
2008,9,Delaware,Total,451
2008,9,Delaware,White Only Non-Hisp,417
2008,9,Delaware,Black Only Non-Hisp,5
2008,9,Delaware,Other Non-Hisp,8
2008,9,Delaware,White Only Hispanic,9
2008,9,Delaware,Black Only Hispanic,2
2008,9,Delaware,Total Non-Hispanic,430
2008,9,Delaware,Total Hispanic,21
2008,9,Dutchess,Total,2925
2008,9,Dutchess,White Only Non-Hisp,1965
2008,9,Dutchess,Black Only Non-Hisp,268
2008,9,Dutchess,Other Non-Hisp,229
2008,9,Dutchess,White Only Hispanic,382
2008,9,Dutchess,Black Only Hispanic,17
2008,9,Dutchess,Total Non-Hispanic,2462
2008,9,Dutchess,Total Hispanic,463
2008,9,Erie,Total,9680
2008,9,Erie,White Only Non-Hisp,6441
2008,9,Erie,Black Only Non-Hisp,1901
2008,9,Erie,Other Non-Hisp,632
2008,9,Erie,White Only Hispanic,546
2008,9,Erie,Black Only Hispanic,53
2008,9,Erie,Total Non-Hispanic,8979
2008,9,Erie,Total Hispanic,701
2008,9,Essex/Hamilton,Total,409
2008,9,Essex/Hamilton,White Only Non-Hisp,394
2008,9,Essex/Hamilton,Black Only Non-Hisp,0
2008,9,Essex/Hamilton,Other Non-Hisp,7
2010,9,Rockland,Total,4525
2008,9,Essex/Hamilton,White Only Hispanic,5
2008,9,Essex/Hamilton,Black Only Hispanic,0
2008,9,Essex/Hamilton,Total Non-Hispanic,402
2008,9,Essex/Hamilton,Total Hispanic,7
2008,9,Franklin,Total,533
2008,9,Franklin,White Only Non-Hisp,472
2008,9,Franklin,Black Only Non-Hisp,3
2008,9,Franklin,Other Non-Hisp,52
2008,9,Franklin,White Only Hispanic,2
2008,9,Franklin,Black Only Hispanic,0
2008,9,Franklin,Total Non-Hispanic,529
2008,9,Franklin,Total Hispanic,4
2008,9,Fulton,Total,632
2008,9,Fulton,White Only Non-Hisp,598
2008,9,Fulton,Black Only Non-Hisp,6
2008,9,Fulton,Other Non-Hisp,9
2008,9,Fulton,White Only Hispanic,11
2008,9,Fulton,Black Only Hispanic,1
2008,9,Fulton,Total Non-Hispanic,613
2008,9,Fulton,Total Hispanic,19
2008,9,Genesee,Total,629
2008,9,Genesee,White Only Non-Hisp,563
2008,9,Genesee,Black Only Non-Hisp,9
2008,9,Genesee,Other Non-Hisp,21
2008,9,Genesee,White Only Hispanic,14
2008,9,Genesee,Black Only Hispanic,6
2008,9,Genesee,Total Non-Hispanic,594
2008,9,Genesee,Total Hispanic,35
2008,9,Greene,Total,439
2008,9,Greene,White Only Non-Hisp,383
2008,9,Greene,Black Only Non-Hisp,9
2008,9,Greene,Other Non-Hisp,12
2008,9,Greene,White Only Hispanic,19
2014,9,Erie,Total,10109
2008,9,Greene,Black Only Hispanic,1
2008,9,Greene,Total Non-Hispanic,404
2008,9,Greene,Total Hispanic,35
2008,9,Hamilton/Essex,Total,409
2008,9,Hamilton/Essex,White Only Non-Hisp,394
2008,9,Hamilton/Essex,Black Only Non-Hisp,0
2008,9,Hamilton/Essex,Other Non-Hisp,7
2008,9,Hamilton/Essex,White Only Hispanic,5
2008,9,Hamilton/Essex,Black Only Hispanic,0
2008,9,Hamilton/Essex,Total Non-Hispanic,402
2008,9,Hamilton/Essex,Total Hispanic,7
2008,9,Herkimer,Total,646
2008,9,Herkimer,White Only Non-Hisp,606
2008,9,Herkimer,Black Only Non-Hisp,4
2008,9,Herkimer,Other Non-Hisp,16
2008,9,Herkimer,White Only Hispanic,14
2008,9,Herkimer,Black Only Hispanic,0
2008,9,Herkimer,Total Non-Hispanic,627
2008,9,Herkimer,Total Hispanic,19
2008,9,Jefferson,Total,2127
2008,9,Jefferson,White Only Non-Hisp,1724
2008,9,Jefferson,Black Only Non-Hisp,128
2008,9,Jefferson,Other Non-Hisp,106
2008,9,Jefferson,White Only Hispanic,69
2008,9,Jefferson,Black Only Hispanic,8
2008,9,Jefferson,Total Non-Hispanic,1963
2008,9,Jefferson,Total Hispanic,164
2008,9,Lewis,Total,335
2008,9,Lewis,White Only Non-Hisp,320
2008,9,Lewis,Black Only Non-Hisp,3
2008,9,Lewis,Other Non-Hisp,5
2008,9,Lewis,White Only Hispanic,1
2008,9,Lewis,Black Only Hispanic,0
2008,9,Lewis,Total Non-Hispanic,334
2008,9,Lewis,Total Hispanic,1
2008,9,Livingston,Total,589
2008,9,Livingston,White Only Non-Hisp,558
2008,9,Livingston,Black Only Non-Hisp,4
2008,9,Livingston,Other Non-Hisp,11
2008,9,Livingston,White Only Hispanic,13
2008,9,Livingston,Black Only Hispanic,1
2008,9,Livingston,Total Non-Hispanic,573
2008,9,Livingston,Total Hispanic,16
2008,9,Madison,Total,699
2008,9,Madison,White Only Non-Hisp,670
2008,9,Madison,Black Only Non-Hisp,4
2008,9,Madison,Other Non-Hisp,17
2008,9,Madison,White Only Hispanic,5
2008,9,Madison,Black Only Hispanic,1
2008,9,Madison,Total Non-Hispanic,691
2008,9,Madison,Total Hispanic,8
2008,9,Monroe,Total,8707
2008,9,Monroe,White Only Non-Hisp,5369
2008,9,Monroe,Black Only Non-Hisp,1942
2008,9,Monroe,Other Non-Hisp,524
2008,9,Monroe,White Only Hispanic,584
2008,9,Monroe,Black Only Hispanic,41
2011,9,Chenango,Total,525
2008,9,Monroe,Total Non-Hispanic,7836
2008,9,Monroe,Total Hispanic,871
2008,9,Montgomery,Total,645
2008,9,Montgomery,White Only Non-Hisp,458
2008,9,Montgomery,Black Only Non-Hisp,9
2008,9,Montgomery,Other Non-Hisp,16
2008,9,Montgomery,White Only Hispanic,134
2008,9,Montgomery,Black Only Hispanic,2
2008,9,Montgomery,Total Non-Hispanic,483
2008,9,Montgomery,Total Hispanic,162
2008,9,Nassau,Total,15033
2008,9,Nassau,White Only Non-Hisp,7999
2008,9,Nassau,Black Only Non-Hisp,1761
2008,9,Nassau,Other Non-Hisp,1478
2008,9,Nassau,White Only Hispanic,2592
2008,9,Nassau,Black Only Hispanic,122
2008,9,Nassau,Total Non-Hispanic,11246
2008,9,Nassau,Total Hispanic,3787
2008,9,Niagara,Total,2263
2008,9,Niagara,White Only Non-Hisp,1844
2008,9,Niagara,Black Only Non-Hisp,216
2008,9,Niagara,Other Non-Hisp,138
2008,9,Niagara,White Only Hispanic,35
2008,9,Niagara,Black Only Hispanic,6
2008,9,Niagara,Total Non-Hispanic,2198
2008,9,Niagara,Total Hispanic,65
2008,9,Oneida,Total,2617
2008,9,Oneida,White Only Non-Hisp,2059
2008,9,Oneida,Black Only Non-Hisp,216
2008,9,Oneida,Other Non-Hisp,175
2008,9,Oneida,White Only Hispanic,130
2008,9,Oneida,Black Only Hispanic,7
2008,9,Oneida,Total Non-Hispanic,2451
2008,9,Oneida,Total Hispanic,166
2008,9,Onondaga,Total,5553
2008,9,Onondaga,White Only Non-Hisp,3868
2008,9,Onondaga,Black Only Non-Hisp,856
2008,9,Onondaga,Other Non-Hisp,510
2008,9,Onondaga,White Only Hispanic,127
2008,9,Onondaga,Black Only Hispanic,41
2008,9,Onondaga,Total Non-Hispanic,5235
2008,9,Onondaga,Total Hispanic,318
2008,9,Ontario,Total,1111
2008,9,Ontario,White Only Non-Hisp,988
2008,9,Ontario,Black Only Non-Hisp,23
2008,9,Ontario,Other Non-Hisp,34
2008,9,Ontario,White Only Hispanic,23
2008,9,Ontario,Black Only Hispanic,2
2008,9,Ontario,Total Non-Hispanic,1046
2008,9,Ontario,Total Hispanic,65
2008,9,Orange,Total,5406
2008,9,Orange,White Only Non-Hisp,3417
2008,9,Orange,Black Only Non-Hisp,440
2008,9,Orange,Other Non-Hisp,247
2008,9,Orange,White Only Hispanic,676
2008,9,Orange,Black Only Hispanic,57
2008,9,Orange,Total Non-Hispanic,4108
2008,9,Orange,Total Hispanic,1298
2008,9,Orleans,Total,418
2008,9,Orleans,White Only Non-Hisp,377
2008,9,Orleans,Black Only Non-Hisp,11
2008,9,Orleans,Other Non-Hisp,5
2008,9,Orleans,White Only Hispanic,19
2008,9,Orleans,Black Only Hispanic,2
2008,9,Orleans,Total Non-Hispanic,394
2008,9,Orleans,Total Hispanic,24
2008,9,Oswego,Total,1377
2008,9,Oswego,White Only Non-Hisp,1300
2008,9,Oswego,Black Only Non-Hisp,11
2008,9,Oswego,Other Non-Hisp,25
2008,9,Oswego,White Only Hispanic,31
2008,9,Oswego,Black Only Hispanic,1
2008,9,Oswego,Total Non-Hispanic,1337
2008,9,Oswego,Total Hispanic,40
2008,9,Otsego,Total,550
2008,9,Otsego,White Only Non-Hisp,499
2008,9,Otsego,Black Only Non-Hisp,7
2008,9,Otsego,Other Non-Hisp,25
2008,9,Otsego,White Only Hispanic,7
2008,9,Otsego,Black Only Hispanic,2
2008,9,Otsego,Total Non-Hispanic,531
2008,9,Otsego,Total Hispanic,19
2008,9,Putnam,Total,984
2008,9,Putnam,White Only Non-Hisp,729
2008,9,Putnam,Black Only Non-Hisp,10
2008,9,Putnam,Other Non-Hisp,46
2014,9,Nassau,Total,14339
2008,9,Putnam,White Only Hispanic,109
2008,9,Putnam,Black Only Hispanic,2
2008,9,Putnam,Total Non-Hispanic,785
2008,9,Putnam,Total Hispanic,199
2008,9,Rensselaer,Total,1723
2008,9,Rensselaer,White Only Non-Hisp,1348
2008,9,Rensselaer,Black Only Non-Hisp,158
2008,9,Rensselaer,Other Non-Hisp,109
2008,9,Rensselaer,White Only Hispanic,64
2008,9,Rensselaer,Black Only Hispanic,14
2008,9,Rensselaer,Total Non-Hispanic,1616
2008,9,Rensselaer,Total Hispanic,107
2008,9,Rockland,Total,4956
2008,9,Rockland,White Only Non-Hisp,3252
2008,9,Rockland,Black Only Non-Hisp,417
2008,9,Rockland,Other Non-Hisp,276
2008,9,Rockland,White Only Hispanic,163
2008,9,Rockland,Black Only Hispanic,12
2008,9,Rockland,Total Non-Hispanic,3954
2008,9,Rockland,Total Hispanic,1002
2008,9,St Lawrence,Total,1253
2008,9,St Lawrence,White Only Non-Hisp,1144
2008,9,St Lawrence,Black Only Non-Hisp,1
2008,9,St Lawrence,Other Non-Hisp,54
2008,9,St Lawrence,White Only Hispanic,8
2008,9,St Lawrence,Black Only Hispanic,0
2008,9,St Lawrence,Total Non-Hispanic,1240
2008,9,St Lawrence,Total Hispanic,13
2008,9,Saratoga,Total,2300
2008,9,Saratoga,White Only Non-Hisp,2098
2008,9,Saratoga,Black Only Non-Hisp,29
2008,9,Saratoga,Other Non-Hisp,90
2008,9,Saratoga,White Only Hispanic,36
2008,9,Saratoga,Black Only Hispanic,3
2008,9,Saratoga,Total Non-Hispanic,2220
2008,9,Saratoga,Total Hispanic,80
2008,9,Schenectady,Total,1802
2008,9,Schenectady,White Only Non-Hisp,1192
2008,9,Schenectady,Black Only Non-Hisp,218
2008,9,Schenectady,Other Non-Hisp,212
2008,9,Schenectady,White Only Hispanic,58
2008,9,Schenectady,Black Only Hispanic,15
2008,9,Schenectady,Total Non-Hispanic,1623
2008,9,Schenectady,Total Hispanic,179
2008,9,Schoharie,Total,327
2008,9,Schoharie,White Only Non-Hisp,305
2008,9,Schoharie,Black Only Non-Hisp,2
2008,9,Schoharie,Other Non-Hisp,11
2008,9,Schoharie,White Only Hispanic,5
2008,9,Schoharie,Black Only Hispanic,1
2008,9,Schoharie,Total Non-Hispanic,318
2008,9,Schoharie,Total Hispanic,9
2008,9,Schuyler,Total,182
2008,9,Schuyler,White Only Non-Hisp,178
2008,9,Schuyler,Black Only Non-Hisp,0
2008,9,Schuyler,Other Non-Hisp,2
2008,9,Schuyler,White Only Hispanic,1
2008,9,Schuyler,Black Only Hispanic,0
2008,9,Schuyler,Total Non-Hispanic,180
2008,9,Schuyler,Total Hispanic,2
2008,9,Seneca,Total,381
2008,9,Seneca,White Only Non-Hisp,362
2008,9,Seneca,Black Only Non-Hisp,5
2008,9,Seneca,Other Non-Hisp,6
2008,9,Seneca,White Only Hispanic,5
2008,9,Seneca,Black Only Hispanic,0
2008,9,Seneca,Total Non-Hispanic,374
2008,9,Seneca,Total Hispanic,7
2008,9,Steuben,Total,1036
2008,9,Steuben,White Only Non-Hisp,987
2008,9,Steuben,Black Only Non-Hisp,11
2008,9,Steuben,Other Non-Hisp,32
2008,9,Steuben,White Only Hispanic,2
2008,9,Steuben,Black Only Hispanic,0
2008,9,Steuben,Total Non-Hispanic,1030
2008,9,Steuben,Total Hispanic,6
2008,9,Suffolk,Total,17984
2008,9,Suffolk,White Only Non-Hisp,10346
2008,9,Suffolk,Black Only Non-Hisp,1424
2008,9,Suffolk,Other Non-Hisp,1002
2008,9,Suffolk,White Only Hispanic,3782
2008,9,Suffolk,Black Only Hispanic,60
2008,9,Suffolk,Total Non-Hispanic,12777
2008,9,Suffolk,Total Hispanic,5207
2008,9,Sullivan,Total,959
2008,9,Sullivan,White Only Non-Hisp,640
2008,9,Sullivan,Black Only Non-Hisp,75
2008,9,Sullivan,Other Non-Hisp,52
2008,9,Sullivan,White Only Hispanic,66
2008,9,Sullivan,Black Only Hispanic,4
2008,9,Sullivan,Total Non-Hispanic,768
2008,9,Sullivan,Total Hispanic,191
2008,9,Tioga,Total,508
2008,9,Tioga,White Only Non-Hisp,493
2008,9,Tioga,Black Only Non-Hisp,0
2008,9,Tioga,Other Non-Hisp,7
2008,9,Tioga,White Only Hispanic,1
2008,9,Tioga,Black Only Hispanic,0
2008,9,Tioga,Total Non-Hispanic,501
2008,9,Tioga,Total Hispanic,7
2008,9,Tompkins,Total,886
2008,9,Tompkins,White Only Non-Hisp,676
2008,9,Tompkins,Black Only Non-Hisp,27
2008,9,Tompkins,Other Non-Hisp,143
2008,9,Tompkins,White Only Hispanic,21
2008,9,Tompkins,Black Only Hispanic,2
2008,9,Tompkins,Total Non-Hispanic,848
2008,9,Tompkins,Total Hispanic,38
2008,9,Ulster,Total,1800
2008,9,Ulster,White Only Non-Hisp,1379
2008,9,Ulster,Black Only Non-Hisp,72
2008,9,Ulster,Other Non-Hisp,93
2008,9,Ulster,White Only Hispanic,129
2008,9,Ulster,Black Only Hispanic,70
2008,9,Ulster,Total Non-Hispanic,1546
2008,9,Ulster,Total Hispanic,254
2008,9,Warren,Total,658
2008,9,Warren,White Only Non-Hisp,635
2008,9,Warren,Black Only Non-Hisp,5
2008,9,Warren,Other Non-Hisp,10
2008,9,Warren,White Only Hispanic,7
2008,9,Warren,Black Only Hispanic,0
2008,9,Warren,Total Non-Hispanic,650
2008,9,Warren,Total Hispanic,8
2008,9,Washington,Total,662
2008,9,Washington,White Only Non-Hisp,642
2008,9,Washington,Black Only Non-Hisp,2
2008,9,Washington,Other Non-Hisp,8
2008,9,Washington,White Only Hispanic,7
2008,9,Washington,Black Only Hispanic,0
2008,9,Washington,Total Non-Hispanic,652
2008,9,Washington,Total Hispanic,10
2008,9,Wayne,Total,1095
2008,9,Wayne,White Only Non-Hisp,975
2008,9,Wayne,Black Only Non-Hisp,36
2008,9,Wayne,Other Non-Hisp,20
2008,9,Wayne,White Only Hispanic,19
2008,9,Wayne,Black Only Hispanic,3
2008,9,Wayne,Total Non-Hispanic,1031
2008,9,Wayne,Total Hispanic,64
2008,9,Westchester,Total,11517
2008,9,Westchester,White Only Non-Hisp,4932
2008,9,Westchester,Black Only Non-Hisp,1564
2008,9,Westchester,Other Non-Hisp,1070
2015,9,Madison,Total,652
2008,9,Westchester,White Only Hispanic,1658
2008,9,Westchester,Black Only Hispanic,84
2008,9,Westchester,Total Non-Hispanic,7574
2008,9,Westchester,Total Hispanic,3943
2008,9,Wyoming,Total,395
2008,9,Wyoming,White Only Non-Hisp,378
2008,9,Wyoming,Black Only Non-Hisp,0
2008,9,Wyoming,Other Non-Hisp,3
2008,9,Wyoming,White Only Hispanic,12
2008,9,Wyoming,Black Only Hispanic,0
2008,9,Wyoming,Total Non-Hispanic,382
2008,9,Wyoming,Total Hispanic,13
2008,9,Yates,Total,290
2008,9,Yates,White Only Non-Hisp,281
2008,9,Yates,Black Only Non-Hisp,0
2008,9,Yates,Other Non-Hisp,4
2008,9,Yates,White Only Hispanic,1
2008,9,Yates,Black Only Hispanic,0
2008,9,Yates,Total Non-Hispanic,286
2008,9,Yates,Total Hispanic,4
2009,9,New York State,Total,246592
2009,9,New York State,White Only Non-Hisp,119167
2009,9,New York State,Black Only Non-Hisp,39864
2009,9,New York State,Other Non-Hisp,28086
2009,9,New York State,White Only Hispanic,43397
2009,9,New York State,Black Only Hispanic,4818
2009,9,New York State,Total Non-Hispanic,187396
2009,9,New York State,Total Hispanic,59196
2009,9,New York City,Total,121745
2009,9,New York City,White Only Non-Hisp,35749
2009,9,New York City,Black Only Non-Hisp,27160
2009,9,New York City,Other Non-Hisp,19699
2009,9,New York City,White Only Hispanic,31464
2009,9,New York City,Black Only Hispanic,4114
2009,9,New York City,Total Non-Hispanic,82838
2009,9,New York City,Total Hispanic,38907
2009,9,Bronx,Total,23000
2009,9,Bronx,White Only Non-Hisp,1608
2009,9,Bronx,Black Only Non-Hisp,6998
2009,9,Bronx,Other Non-Hisp,1100
2009,9,Bronx,White Only Hispanic,10426
2009,9,Bronx,Black Only Hispanic,2141
2009,9,Bronx,Total Non-Hispanic,9769
2009,9,Bronx,Total Hispanic,13231
2009,9,Kings,White Only Non-Hisp,15715
2009,9,Kings,Black Only Non-Hisp,11646
2009,9,Kings,Other Non-Hisp,6323
2009,9,Kings,White Only Hispanic,6377
2009,9,Kings,Black Only Hispanic,721
2009,9,Kings,Total Non-Hispanic,33776
2009,9,Kings,Total Hispanic,8325
2009,9,New York,Total,20167
2009,9,New York,White Only Non-Hisp,8719
2009,9,New York,Black Only Non-Hisp,2431
2009,9,New York,Other Non-Hisp,3363
2009,9,New York,White Only Hispanic,4338
2009,9,New York,Black Only Hispanic,853
2009,9,New York,Total Non-Hispanic,14561
2009,9,New York,Total Hispanic,5606
2009,9,Queens,Total,30748
2009,9,Queens,White Only Non-Hisp,6686
2009,9,Queens,Black Only Non-Hisp,5292
2009,9,Queens,Other Non-Hisp,8423
2009,9,Queens,White Only Hispanic,9077
2009,9,Queens,Black Only Hispanic,316
2009,9,Queens,Total Non-Hispanic,20426
2009,9,Queens,Total Hispanic,10322
2009,9,Richmond,Total,5729
2009,9,Richmond,White Only Non-Hisp,3021
2009,9,Richmond,Black Only Non-Hisp,793
2009,9,Richmond,Other Non-Hisp,490
2016,9,Franklin,Total,475
2009,9,Richmond,White Only Hispanic,1246
2009,9,Richmond,Black Only Hispanic,83
2009,9,Richmond,Total Non-Hispanic,4306
2009,9,Richmond,Total Hispanic,1423
2009,9,Rest of State,Total,124847
2009,9,Rest of State,White Only Non-Hisp,83418
2009,9,Rest of State,Black Only Non-Hisp,12704
2009,9,Rest of State,Other Non-Hisp,8387
2009,9,Rest of State,White Only Hispanic,11933
2009,9,Rest of State,Black Only Hispanic,704
2009,9,Rest of State,Total Non-Hispanic,104558
2009,9,Rest of State,Total Hispanic,20289
2009,9,Albany,Total,3176
2009,9,Albany,White Only Non-Hisp,1977
2009,9,Albany,Black Only Non-Hisp,590
2009,9,Albany,Other Non-Hisp,366
2009,9,Albany,White Only Hispanic,129
2009,9,Albany,Black Only Hispanic,34
2009,9,Albany,Total Non-Hispanic,2933
2009,9,Albany,Total Hispanic,243
2009,9,Allegany,Total,521
2009,9,Allegany,White Only Non-Hisp,501
2009,9,Allegany,Black Only Non-Hisp,4
2009,9,Allegany,Other Non-Hisp,5
2009,9,Allegany,White Only Hispanic,6
2009,9,Allegany,Black Only Hispanic,0
2009,9,Allegany,Total Non-Hispanic,510
2009,9,Allegany,Total Hispanic,11
2009,9,Broome,Total,2061
2009,9,Broome,White Only Non-Hisp,1696
2009,9,Broome,Black Only Non-Hisp,111
2009,9,Broome,Other Non-Hisp,155
2009,9,Broome,White Only Hispanic,37
2009,9,Broome,Black Only Hispanic,9
2009,9,Broome,Total Non-Hispanic,1962
2009,9,Broome,Total Hispanic,99
2009,9,Cattaraugus,Total,978
2009,9,Cattaraugus,White Only Non-Hisp,774
2009,9,Cattaraugus,Black Only Non-Hisp,10
2009,9,Cattaraugus,Other Non-Hisp,64
2009,9,Cattaraugus,White Only Hispanic,21
2009,9,Cattaraugus,Black Only Hispanic,1
2009,9,Cattaraugus,Total Non-Hispanic,848
2009,9,Cattaraugus,Total Hispanic,130
2009,9,Cayuga,Total,812
2009,9,Cayuga,White Only Non-Hisp,745
2009,9,Cayuga,Black Only Non-Hisp,10
2009,9,Cayuga,Other Non-Hisp,29
2009,9,Cayuga,White Only Hispanic,5
2009,9,Cayuga,Black Only Hispanic,0
2009,9,Cayuga,Total Non-Hispanic,785
2009,9,Cayuga,Total Hispanic,27
2009,9,Chautauqua,Total,1442
2009,9,Chautauqua,White Only Non-Hisp,1218
2009,9,Chautauqua,Black Only Non-Hisp,23
2009,9,Chautauqua,Other Non-Hisp,54
2009,9,Chautauqua,White Only Hispanic,92
2009,9,Chautauqua,Black Only Hispanic,2
2009,9,Chautauqua,Total Non-Hispanic,1296
2009,9,Chautauqua,Total Hispanic,146
2009,9,Chemung,Total,978
2009,9,Chemung,White Only Non-Hisp,833
2009,9,Chemung,Black Only Non-Hisp,51
2009,9,Chemung,Other Non-Hisp,52
