Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Year	Year Code	Births
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	32
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	50
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	338
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	359
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	357
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	312
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	310
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	289
	"Kings County, NY"	36047	White	2106-3	Hispanic or Latino	2135-2	2016	2016	96
	"Kings County, NY"	36047	White	2106-3	Hispanic or Latino	2135-2	2017	2017	94
