Year,Table,County,Month Prenatal Care Began,Value
2015,12,Dutchess,PNC Start Unk,135
2015,12,Genesee,PNC Start Unk,1
2015,12,Erie,None,74
2015,12,Greene,1st-3rd,279
2015,12,Putnam,None,3
2015,12,Rensselaer,Total,1617
2015,12,Saratoga,PNC Start Unk,9
2015,12,Bronx,4th-6th,6013
2015,12,Albany,PNC Unknown,54
2015,12,Otsego,PNC Unknown,10
2015,12,Chemung,4th-6th,153
2015,12,Greene,4th-6th,76
2015,12,Franklin,1st-3rd,321
2015,12,Sullivan,4th-6th,217
2015,12,Schoharie,PNC Unknown,1
2015,12,Rest of State,Total,119924
2015,12,Tioga,PNC Unknown,2
2015,12,Essex,7th-9th,12
2015,12,Orleans,None,2
2015,12,Orleans,PNC Start Unk,0
2015,12,Dutchess,7th-9th,60
2015,12,Chautauqua,PNC Start Unk,13
2015,12,Montgomery,1st-3rd,442
2015,12,St Lawrence,Total,1181
2015,12,Erie,Total,10162
2015,12,Seneca,4th-6th,99
2015,12,New York State,Total,235964
2015,12,Madison,Total,652
2015,12,Schenectady,PNC Start Unk,2
2015,12,Suffolk,PNC Unknown,810
2015,12,Rockland,7th-9th,214
2015,12,Queens,1st-3rd,22558
2015,12,Chenango,4th-6th,124
2015,12,Franklin,Total,491
2015,12,Orange,None,16
2015,12,Onondaga,7th-9th,141
2015,12,Montgomery,PNC Start Unk,3
2015,12,Westchester,PNC Start Unk,1520
2015,12,Greene,Total,378
2015,12,New York State,4th-6th,41215
2015,12,Greene,7th-9th,17
2015,12,Essex,4th-6th,71
2015,12,Seneca,7th-9th,28
2015,12,Ontario,1st-3rd,808
2015,12,Hamilton,7th-9th,2
2015,12,Broome,4th-6th,403
2015,12,Orange,PNC Unknown,136
2015,12,New York City,1st-3rd,84652
2015,12,Rensselaer,1st-3rd,1288
2015,12,Hamilton,PNC Start Unk,0
2015,12,Schenectady,7th-9th,68
2015,12,Bronx,PNC Start Unk,164
2015,12,Wyoming,7th-9th,7
2015,12,Seneca,None,0
2015,12,Fulton,Total,522
2015,12,Cayuga,4th-6th,90
2015,12,Fulton,PNC Start Unk,0
2015,12,Franklin,7th-9th,23
2015,12,New York City,PNC Unknown,1381
2015,12,Wayne,PNC Start Unk,1
2015,12,Yates,4th-6th,138
2015,12,Sullivan,7th-9th,37
2015,12,Rensselaer,PNC Start Unk,4
2015,12,Albany,None,27
2015,12,Tompkins,Total,812
2015,12,Niagara,PNC Unknown,72
2015,12,Madison,7th-9th,22
2015,12,Jefferson,1st-3rd,1624
2015,12,Cayuga,1st-3rd,606
2015,12,Otsego,4th-6th,93
2015,12,Columbia,7th-9th,20
2015,12,Oneida,1st-3rd,1868
2015,12,Saratoga,Total,2174
2015,12,Yates,PNC Start Unk,2
2015,12,Essex,None,0
2015,12,Herkimer,None,3
2015,12,Oneida,None,9
2015,12,Orange,Total,4792
2015,12,Wyoming,None,0
2015,12,Yates,7th-9th,19
2015,12,Clinton,Total,768
2015,12,Erie,7th-9th,395
2015,12,Westchester,7th-9th,347
2015,12,Chemung,1st-3rd,759
2015,12,Oswego,7th-9th,31
2015,12,Columbia,PNC Start Unk,16
2015,12,Queens,PNC Unknown,357
2015,12,Wyoming,PNC Start Unk,3
2015,12,Tompkins,7th-9th,24
2015,12,Chemung,7th-9th,30
2015,12,Jefferson,None,6
2015,12,Wyoming,4th-6th,53
2015,12,Albany,PNC Start Unk,4
2015,12,Allegany,1st-3rd,355
2015,12,Chenango,7th-9th,21
2015,12,Fulton,PNC Unknown,2
2015,12,Livingston,7th-9th,19
2015,12,Madison,PNC Start Unk,1
2015,12,Chautauqua,7th-9th,65
2015,12,Monroe,1st-3rd,6180
2015,12,Schenectady,1st-3rd,1407
2015,12,Schoharie,Total,234
2015,12,Queens,None,206
2015,12,Richmond,4th-6th,608
2015,12,Washington,7th-9th,39
2015,12,Ulster,1st-3rd,1230
2015,12,Cortland,PNC Start Unk,4
2015,12,Rest of State,4th-6th,19925
2015,12,Tompkins,PNC Start Unk,1
2015,12,Madison,PNC Unknown,8
2015,12,Niagara,Total,2149
2015,12,Onondaga,PNC Unknown,5
2015,12,Queens,7th-9th,1976
2015,12,New York State,7th-9th,11292
2015,12,Greene,None,3
2015,12,Hamilton,4th-6th,7
2015,12,Cattaraugus,1st-3rd,608
2015,12,Montgomery,4th-6th,113
2015,12,Bronx,PNC Unknown,408
2015,12,Monroe,Total,8174
2015,12,Cayuga,PNC Start Unk,3
2015,12,Yates,PNC Unknown,2
2015,12,Seneca,PNC Start Unk,1
2015,12,Ontario,PNC Start Unk,0
2015,12,Onondaga,1st-3rd,4169
2015,12,Hamilton,PNC Unknown,0
2015,12,Steuben,1st-3rd,754
2015,12,Niagara,PNC Start Unk,4
2015,12,Steuben,PNC Unknown,6
2015,12,Madison,1st-3rd,532
2015,12,Hamilton,Total,31
2015,12,Westchester,None,32
2015,12,Otsego,None,8
2015,12,Rockland,None,9
2015,12,Oswego,PNC Unknown,10
2015,12,Columbia,None,4
2015,12,Washington,None,2
2015,12,Washington,PNC Start Unk,3
2015,12,Erie,4th-6th,2120
2015,12,Herkimer,1st-3rd,443
2015,12,Herkimer,4th-6th,122
2015,12,Rensselaer,7th-9th,43
2015,12,Broome,7th-9th,77
2015,12,Bronx,1st-3rd,12365
2015,12,Allegany,PNC Unknown,14
2015,12,Cattaraugus,PNC Start Unk,9
2015,12,Richmond,1st-3rd,4527
2015,12,Columbia,Total,523
2015,12,Schuyler,PNC Unknown,0
2015,12,Wayne,4th-6th,252
2015,12,Nassau,4th-6th,1533
2015,12,Columbia,1st-3rd,372
2015,12,Cortland,1st-3rd,351
2015,12,Nassau,PNC Unknown,76
2015,12,Sullivan,None,6
2015,12,Chautauqua,1st-3rd,975
2015,12,Washington,Total,584
2015,12,Albany,7th-9th,109
2015,12,Broome,1st-3rd,1462
2015,12,Saratoga,1st-3rd,1701
2015,12,Clinton,PNC Unknown,2
2015,12,Cortland,Total,464
2015,12,Schenectady,Total,1766
2015,12,Otsego,PNC Start Unk,1
2015,12,Bronx,None,131
2015,12,Oneida,7th-9th,93
2015,12,Livingston,Total,515
2015,12,Jefferson,4th-6th,383
2015,12,Schuyler,PNC Start Unk,3
2015,12,Lewis,PNC Unknown,5
2015,12,Delaware,1st-3rd,279
2015,12,Warren,1st-3rd,387
2015,12,Saratoga,None,11
2015,12,Cayuga,None,3
2015,12,Chenango,PNC Unknown,3
2015,12,Fulton,4th-6th,65
2015,12,Hamilton,None,0
2015,12,Rensselaer,PNC Unknown,17
2015,12,Cayuga,7th-9th,12
2015,12,Nassau,Total,14272
2015,12,Broome,Total,1972
2015,12,Chenango,PNC Start Unk,1
2015,12,Bronx,7th-9th,2049
2015,12,Albany,Total,3161
2015,12,Steuben,4th-6th,234
2015,12,Cattaraugus,4th-6th,148
2015,12,Tompkins,PNC Unknown,5
2015,12,Ulster,4th-6th,244
2015,12,Albany,4th-6th,505
2015,12,Fulton,7th-9th,10
2015,12,Westchester,PNC Unknown,391
2015,12,Chautauqua,Total,1439
2015,12,Delaware,PNC Unknown,1
2015,12,Greene,PNC Unknown,3
2015,12,Oswego,PNC Start Unk,5
2015,12,Sullivan,Total,792
2015,12,Warren,4th-6th,114
2015,12,Greene,PNC Start Unk,0
2015,12,Franklin,4th-6th,131
2015,12,Wyoming,1st-3rd,298
2015,12,Essex,1st-3rd,239
2015,12,Dutchess,PNC Unknown,14
2015,12,Kings,Total,41514
2015,12,Onondaga,4th-6th,893
2015,12,Delaware,PNC Start Unk,2
2015,12,Franklin,None,1
2015,12,Cayuga,PNC Unknown,2
2015,12,Rockland,PNC Start Unk,130
2015,12,New York City,7th-9th,7319
2015,12,Warren,PNC Start Unk,3
2015,12,Clinton,1st-3rd,634
2015,12,Oneida,4th-6th,541
2015,12,Rensselaer,None,19
2015,12,Tioga,7th-9th,12
2015,12,Rockland,1st-3rd,3372
2015,12,New York,4th-6th,2518
2015,12,New York,7th-9th,804
2015,12,Suffolk,7th-9th,465
2015,12,New York,1st-3rd,14023
2015,12,Delaware,None,1
2015,12,Allegany,4th-6th,80
2015,12,Washington,PNC Unknown,15
2015,12,Wayne,Total,968
2015,12,Clinton,4th-6th,101
2015,12,Lewis,Total,324
2015,12,Queens,PNC Start Unk,83
2015,12,Cortland,4th-6th,81
2015,12,Clinton,PNC Start Unk,14
2015,12,Tioga,PNC Start Unk,109
2015,12,Westchester,4th-6th,1534
2015,12,Chemung,PNC Unknown,1
2015,12,Dutchess,1st-3rd,2077
2015,12,Otsego,7th-9th,26
2015,12,Rest of State,None,645
2015,12,Fulton,1st-3rd,444
2015,12,Seneca,1st-3rd,230
2015,12,Lewis,PNC Start Unk,2
2015,12,Tioga,1st-3rd,276
2015,12,Schenectady,None,14
2015,12,Westchester,1st-3rd,6815
2015,12,Putnam,PNC Start Unk,38
2015,12,Niagara,None,7
2015,12,Genesee,4th-6th,66
2015,12,Schoharie,None,0
2015,12,New York City,None,529
2015,12,Kings,PNC Unknown,402
2015,12,Herkimer,PNC Unknown,6
2015,12,Jefferson,PNC Start Unk,9
2015,12,Tompkins,None,8
2015,12,Lewis,4th-6th,53
2015,12,Montgomery,Total,643
2015,12,Genesee,1st-3rd,469
2015,12,Schoharie,7th-9th,9
2015,12,Otsego,1st-3rd,392
2015,12,Rensselaer,4th-6th,246
2015,12,Niagara,1st-3rd,1460
2015,12,Suffolk,1st-3rd,12126
2015,12,Sullivan,1st-3rd,526
2015,12,Montgomery,None,7
2015,12,New York State,PNC Unknown,4687
2015,12,St Lawrence,7th-9th,35
2015,12,Wyoming,Total,368
2015,12,Rockland,PNC Unknown,266
2015,12,Ulster,PNC Unknown,19
2015,12,Niagara,4th-6th,483
2015,12,Warren,None,0
2015,12,Richmond,None,14
2015,12,Chemung,PNC Start Unk,32
2015,12,Herkimer,PNC Start Unk,1
2015,12,Cortland,PNC Unknown,17
2015,12,Wayne,PNC Unknown,34
2015,12,St Lawrence,PNC Start Unk,16
2015,12,Cortland,None,0
2015,12,Nassau,None,42
2015,12,Columbia,PNC Unknown,1
2015,12,Richmond,PNC Start Unk,7
2015,12,Orleans,7th-9th,14
2015,12,Columbia,4th-6th,110
2016,12,Montgomery,4th-6th,121
2016,12,Tompkins,7th-9th,25
2016,12,Montgomery,PNC Unknown,6
2016,12,Wyoming,None,2
2016,12,Oswego,Total,1329
2016,12,New York,1st-3rd,13569
2016,12,Madison,Total,630
2016,12,Westchester,7th-9th,370
2016,12,Hamilton,PNC Unknown,0
2016,12,Niagara,Total,2144
2016,12,Oswego,None,14
2016,12,Suffolk,PNC Start Unk,103
2016,12,Franklin,Total,475
2016,12,Tioga,PNC Unknown,2
2016,12,Broome,PNC Unknown,4
2016,12,Sullivan,7th-9th,52
2016,12,Orleans,None,2
2016,12,Cortland,Total,507
2016,12,Madison,PNC Unknown,11
2016,12,Delaware,PNC Start Unk,1
2016,12,Ulster,None,6
2016,12,Suffolk,7th-9th,546
2016,12,Tioga,PNC Start Unk,3
2016,12,Queens,PNC Start Unk,61
2016,12,Nassau,PNC Start Unk,152
2016,12,Schoharie,PNC Start Unk,0
2016,12,Oneida,1st-3rd,1881
2016,12,Nassau,Total,14277
2016,12,Cortland,4th-6th,66
2016,12,Montgomery,Total,573
2016,12,Essex,PNC Unknown,1
2016,12,Greene,PNC Unknown,8
2016,12,Chemung,Total,934
2016,12,Fulton,7th-9th,25
2016,12,Madison,1st-3rd,527
2016,12,Allegany,PNC Start Unk,2
2016,12,Chenango,1st-3rd,389
2016,12,Lewis,7th-9th,17
2016,12,Queens,None,154
2016,12,Kings,None,124
2016,12,Niagara,1st-3rd,1332
2016,12,Hamilton,7th-9th,3
2016,12,Steuben,PNC Start Unk,4
2016,12,Schenectady,None,18
2016,12,Cattaraugus,PNC Start Unk,4
2016,12,Suffolk,1st-3rd,11977
2016,12,Chenango,PNC Start Unk,0
2016,12,Orange,PNC Unknown,144
2016,12,Niagara,4th-6th,554
2016,12,Onondaga,None,31
2016,12,Bronx,1st-3rd,12506
2016,12,Tioga,7th-9th,17
2016,12,Schenectady,PNC Start Unk,6
2016,12,Montgomery,1st-3rd,370
2016,12,Jefferson,4th-6th,245
2016,12,Erie,1st-3rd,6980
2016,12,Onondaga,PNC Unknown,3
2016,12,Oneida,PNC Unknown,10
2016,12,Ulster,1st-3rd,1116
2016,12,Washington,1st-3rd,373
2016,12,Wyoming,1st-3rd,306
2016,12,Otsego,Total,493
2016,12,Delaware,1st-3rd,253
2016,12,Yates,1st-3rd,164
2016,12,Rockland,7th-9th,201
2016,12,Seneca,1st-3rd,226
2016,12,Suffolk,Total,15539
2016,12,Steuben,1st-3rd,745
2016,12,Ontario,1st-3rd,790
2016,12,Albany,1st-3rd,2326
2016,12,St Lawrence,4th-6th,204
2016,12,Tompkins,4th-6th,126
2016,12,Suffolk,None,128
2016,12,Hamilton,PNC Start Unk,0
2016,12,Bronx,PNC Unknown,358
2016,12,Onondaga,PNC Start Unk,12
2016,12,Herkimer,4th-6th,130
2016,12,Essex,Total,265
2016,12,Oneida,4th-6th,476
2016,12,Jefferson,None,9
2016,12,Niagara,None,19
2016,12,New York State,7th-9th,11699
2016,12,Yates,PNC Start Unk,1
2016,12,Fulton,None,3
2016,12,Dutchess,1st-3rd,2109
2016,12,Cattaraugus,7th-9th,33
2016,12,Schenectady,PNC Unknown,17
2016,12,Westchester,PNC Unknown,295
2016,12,Kings,1st-3rd,30845
2016,12,Orange,None,20
2016,12,Chemung,1st-3rd,771
2016,12,Chenango,PNC Unknown,5
2016,12,Putnam,None,6
2016,12,Kings,PNC Unknown,557
2016,12,Steuben,None,11
2016,12,Monroe,1st-3rd,6229
2016,12,Dutchess,Total,2502
2016,12,St Lawrence,1st-3rd,762
2016,12,Rensselaer,None,13
2016,12,Oneida,Total,2503
2016,12,Delaware,7th-9th,11
2016,12,Genesee,4th-6th,81
2016,12,Erie,PNC Start Unk,34
2016,12,Steuben,PNC Unknown,7
2016,12,Ontario,None,1
2016,12,Yates,PNC Unknown,4
2016,12,Columbia,1st-3rd,364
2016,12,Albany,7th-9th,150
2016,12,Broome,None,10
2016,12,Rockland,PNC Unknown,105
2016,12,Monroe,PNC Start Unk,16
2016,12,St Lawrence,7th-9th,41
2016,12,Tompkins,1st-3rd,634
2016,12,Clinton,1st-3rd,603
2016,12,Livingston,Total,527
2016,12,Cayuga,PNC Start Unk,0
2016,12,Chautauqua,None,16
2016,12,Schuyler,7th-9th,3
2016,12,Genesee,None,3
2016,12,Columbia,Total,510
2016,12,St Lawrence,Total,1092
2016,12,Schoharie,1st-3rd,200
2016,12,Washington,Total,542
2016,12,Richmond,PNC Start Unk,12
2016,12,Sullivan,Total,859
2016,12,Cattaraugus,4th-6th,136
2016,12,Chenango,None,5
2016,12,Rockland,Total,5205
2016,12,New York State,PNC Unknown,4567
2016,12,Onondaga,1st-3rd,4171
2016,12,Putnam,PNC Start Unk,2
2016,12,Hamilton,4th-6th,4
2016,12,Rockland,PNC Start Unk,35
2016,12,Essex,1st-3rd,180
2016,12,Schenectady,4th-6th,279
2016,12,Wayne,Total,917
2016,12,Schuyler,PNC Unknown,0
2016,12,Rest of State,PNC Unknown,2954
2016,12,New York City,4th-6th,20706
2016,12,Broome,PNC Start Unk,11
2016,12,Cayuga,None,4
2016,12,Genesee,PNC Start Unk,1
2016,12,Nassau,None,43
2016,12,Schoharie,4th-6th,33
2016,12,Livingston,4th-6th,85
2016,12,Schuyler,None,1
2016,12,Chenango,4th-6th,111
2016,12,Chautauqua,PNC Start Unk,6
2016,12,Sullivan,PNC Start Unk,1
2016,12,Greene,None,0
2016,12,Dutchess,7th-9th,79
2016,12,Cortland,PNC Unknown,16
2016,12,Schoharie,PNC Unknown,2
2016,12,Chautauqua,1st-3rd,926
2016,12,Erie,PNC Unknown,533
2016,12,Seneca,PNC Start Unk,0
2016,12,Cayuga,PNC Unknown,2
2016,12,Wayne,PNC Start Unk,2
2016,12,Tompkins,None,3
2016,12,Albany,None,21
2016,12,Saratoga,PNC Start Unk,11
2016,12,Lewis,PNC Unknown,1
2016,12,Richmond,7th-9th,129
2016,12,Warren,Total,572
2016,12,Livingston,7th-9th,21
2016,12,Jefferson,PNC Unknown,16
2016,12,Monroe,4th-6th,1030
2016,12,Warren,None,1
2016,12,Montgomery,PNC Start Unk,3
2016,12,Westchester,1st-3rd,7963
2016,12,Yates,7th-9th,16
2016,12,Ulster,4th-6th,308
2016,12,Livingston,None,1
2016,12,Orange,Total,4916
2016,12,Fulton,PNC Unknown,1
2016,12,Ulster,7th-9th,43
2016,12,Cortland,1st-3rd,409
2016,12,New York,None,45
2016,12,Rensselaer,4th-6th,273
2016,12,Rest of State,7th-9th,4301
2016,12,New York,4th-6th,2391
2016,12,Monroe,PNC Unknown,472
2016,12,Chemung,7th-9th,21
2016,12,Erie,4th-6th,1873
2016,12,Schenectady,7th-9th,79
2016,12,Franklin,PNC Start Unk,4
2016,12,Saratoga,PNC Unknown,12
2016,12,Allegany,PNC Unknown,14
2016,12,Chenango,Total,523
2016,12,Otsego,4th-6th,96
2016,12,Albany,4th-6th,558
2016,12,Erie,None,91
2016,12,Saratoga,None,5
2016,12,Clinton,PNC Start Unk,6
2016,12,Wyoming,PNC Start Unk,3
2016,12,Tompkins,PNC Start Unk,4
2016,12,Orange,7th-9th,188
2016,12,Columbia,7th-9th,18
2016,12,Onondaga,Total,5239
2016,12,Bronx,None,125
2016,12,Herkimer,Total,634
2016,12,Chenango,7th-9th,13
2016,12,Livingston,1st-3rd,392
2016,12,Wyoming,4th-6th,61
2016,12,Sullivan,1st-3rd,577
2016,12,Cortland,None,4
2016,12,Franklin,4th-6th,109
2016,12,Warren,4th-6th,92
2016,12,New York State,1st-3rd,174289
2016,12,Queens,PNC Unknown,471
2016,12,Wyoming,7th-9th,16
2016,12,Rensselaer,1st-3rd,1325
2016,12,Bronx,4th-6th,5703
2016,12,Greene,PNC Start Unk,2
2016,12,Washington,7th-9th,38
2016,12,Nassau,PNC Unknown,123
2016,12,New York City,None,469
2016,12,Schuyler,1st-3rd,122
2016,12,New York City,PNC Unknown,1613
2016,12,Franklin,None,1
2016,12,New York City,PNC Start Unk,340
2016,12,Onondaga,4th-6th,884
2016,12,Madison,PNC Start Unk,2
2016,12,Tompkins,Total,793
2016,12,Steuben,Total,1020
2016,12,Washington,None,5
2016,12,Washington,PNC Unknown,11
2016,12,Saratoga,7th-9th,69
2016,12,Chemung,4th-6th,128
2016,12,Bronx,PNC Start Unk,92
2016,12,Seneca,Total,352
2016,12,Saratoga,1st-3rd,1776
2016,12,Cattaraugus,PNC Unknown,94
2016,12,Onondaga,7th-9th,138
2016,12,Lewis,PNC Start Unk,2
2016,12,Clinton,None,21
2016,12,New York City,1st-3rd,83874
2016,12,Tioga,1st-3rd,377
2016,12,Essex,4th-6th,60
2016,12,Oneida,7th-9th,111
2016,12,New York State,PNC Start Unk,955
2016,12,Washington,PNC Start Unk,7
2016,12,Ulster,PNC Unknown,15
2016,12,Yates,Total,308
2016,12,Tioga,4th-6th,74
2016,12,Essex,7th-9th,16
2016,12,Livingston,PNC Unknown,23
2016,12,Warren,1st-3rd,419
2016,12,Cattaraugus,Total,851
2016,12,Orleans,7th-9th,11
2016,12,Livingston,PNC Start Unk,5
2016,12,Otsego,PNC Unknown,4
2016,12,Saratoga,Total,2211
2016,12,Seneca,PNC Unknown,4
2016,12,Rockland,None,13
2016,12,Wayne,7th-9th,37
2016,12,Greene,4th-6th,66
2016,12,Madison,4th-6th,74
2016,12,Putnam,4th-6th,113
2016,12,Monroe,7th-9th,215
2016,12,Suffolk,PNC Unknown,563
2016,12,Cortland,7th-9th,12
2016,12,Franklin,7th-9th,24
2016,12,Schuyler,Total,167
2016,12,Richmond,4th-6th,603
2016,12,Putnam,7th-9th,16
2016,12,Dutchess,None,4
2016,12,Ontario,Total,988
2016,12,New York,PNC Start Unk,50
2016,12,Albany,PNC Start Unk,13
2016,12,Lewis,1st-3rd,250
2016,12,Orange,4th-6th,965
2016,12,Schoharie,7th-9th,5
2016,12,Albany,Total,3132
2016,12,Oneida,None,19
2016,12,Rockland,1st-3rd,3784
2016,12,Niagara,PNC Start Unk,9
2016,12,Clinton,4th-6th,94
2016,12,Wyoming,PNC Unknown,10
2016,12,New York,Total,17052
2016,12,Schenectady,1st-3rd,1298
2016,12,Seneca,7th-9th,22
2016,12,Herkimer,1st-3rd,476
2016,12,Richmond,PNC Unknown,17
2016,12,Erie,7th-9th,374
2016,12,Monroe,None,34
2016,12,Greene,Total,369
2016,12,Dutchess,PNC Start Unk,7
2016,12,Cattaraugus,1st-3rd,582
2016,12,Westchester,Total,10273
2016,12,Herkimer,7th-9th,17
2016,12,Queens,Total,30292
2016,12,Steuben,7th-9th,53
2016,12,Queens,1st-3rd,22313
2016,12,Ontario,PNC Unknown,31
2016,12,Hamilton,Total,21
2016,12,Orleans,Total,405
2016,12,Herkimer,PNC Start Unk,2
2016,12,New York City,7th-9th,7398
2016,12,Fulton,4th-6th,90
2016,12,Schuyler,4th-6th,41
2016,12,Warren,7th-9th,50
2016,12,Bronx,7th-9th,2047
2016,12,Wayne,4th-6th,218
2016,12,Lewis,Total,323
2016,12,Dutchess,4th-6th,287
2016,12,Genesee,1st-3rd,455
2016,12,Allegany,4th-6th,74
2016,12,Broome,7th-9th,101
2016,12,Rockland,4th-6th,1067
