"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	Births
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	569
	"New York County, NY"	"36061"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	14
	"New York County, NY"	"36061"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	396
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	161
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	381
	"New York County, NY"	"36061"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	386
	"New York County, NY"	"36061"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	786
	"Niagara County, NY"	"36063"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Niagara County, NY"	"36063"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Niagara County, NY"	"36063"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Niagara County, NY"	"36063"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	53
	"Niagara County, NY"	"36063"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	11
	"Niagara County, NY"	"36063"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	197
	"Oneida County, NY"	"36065"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Oneida County, NY"	"36065"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	25
	"Oneida County, NY"	"36065"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Oneida County, NY"	"36065"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	50
	"Oneida County, NY"	"36065"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	22
	"Oneida County, NY"	"36065"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	184
	"Onondaga County, NY"	"36067"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Onondaga County, NY"	"36067"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	36
	"Onondaga County, NY"	"36067"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	13
	"Onondaga County, NY"	"36067"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	200
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	35
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	300
	"Ontario County, NY"	"36069"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Ontario County, NY"	"36069"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Ontario County, NY"	"36069"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Ontario County, NY"	"36069"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	Suppressed
